,KSKSALUNR_A
1992-01-01,2828.0
1993-01-01,2979.0
1994-01-01,2983.0
1995-01-01,3033.0
1996-01-01,3631.0
1997-01-01,3554.0
1998-01-01,3684.0
1999-01-01,3847.0
2000-01-01,3241.0
2001-01-01,3481.0
2002-01-01,3513.0
2003-01-01,3451.0
2004-01-01,3624.0
2005-01-01,3971.0
2006-01-01,4260.0
2007-01-01,5631.0
2008-01-01,4571.0
2009-01-01,5145.0
2010-01-01,4811.0
2011-01-01,5505.0
2012-01-01,5718.0
2013-01-01,5896.0
2014-01-01,6353.0
2015-01-01,5481.0
2016-01-01,5075.0
2017-01-01,4889.0
2018-01-01,4640.0
2019-01-01,4848.0
2020-01-01,5960.0
2021-01-01,7435.0
2022-01-01,6357.0
2023-01-01,6287.0
2024-01-01,6724.0
