,KSKSNLRVA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,41.43
1988-04-01,43.25
1988-07-01,39.53
1988-10-01,39.1
1989-01-01,41.05
1989-04-01,38.51
1989-07-01,36.89
1989-10-01,40.66
1990-01-01,39.66
1990-04-01,35.53
1990-07-01,37.34
1990-10-01,34.55
1991-01-01,37.48
1991-04-01,43.0
1991-07-01,47.98
1991-10-01,46.25
1992-01-01,54.9
1992-04-01,49.32
1992-07-01,54.66
1992-10-01,52.66
1993-01-01,53.28
1993-04-01,57.67
1993-07-01,55.51
1993-10-01,63.96
1994-01-01,62.65
1994-04-01,56.33
1994-07-01,58.62
1994-10-01,60.29
1995-01-01,57.03
1995-04-01,63.41
1995-07-01,70.04
1995-10-01,63.65
1996-01-01,76.11
1996-04-01,66.58
1996-07-01,69.86
1996-10-01,71.94
1997-01-01,77.63
1997-04-01,64.97
1997-07-01,70.05
1997-10-01,63.17
1998-01-01,65.28
1998-04-01,62.34
1998-07-01,59.92
1998-10-01,62.24
1999-01-01,60.91
1999-04-01,71.62
1999-07-01,66.52
1999-10-01,62.63
2000-01-01,54.98
2000-04-01,51.48
2000-07-01,53.75
2000-10-01,50.81
2001-01-01,49.73
2001-04-01,48.48
2001-07-01,55.38
2001-10-01,68.28
2002-01-01,59.11
2002-04-01,66.62
2002-07-01,61.6
2002-10-01,58.84
2003-01-01,58.91
2003-04-01,56.96
2003-07-01,62.54
2003-10-01,61.67
2004-01-01,63.52
2004-04-01,60.33
2004-07-01,63.54
2004-10-01,58.11
2005-01-01,54.52
2005-04-01,66.69
2005-07-01,68.75
2005-10-01,65.01
2006-01-01,60.32
2006-04-01,66.36
2006-07-01,78.36
2006-10-01,80.54
2007-01-01,84.85
2007-04-01,83.17
2007-07-01,65.16
2007-10-01,71.38
2008-01-01,63.02
2008-04-01,37.67
2008-07-01,31.44
2008-10-01,37.69
2009-01-01,35.91
2009-04-01,49.86
2009-07-01,68.15
2009-10-01,66.91
2010-01-01,44.52
2010-04-01,47.34
2010-07-01,48.43
2010-10-01,52.27
2011-01-01,46.39
2011-04-01,49.94
2011-07-01,58.45
2011-10-01,54.74
2012-01-01,55.31
2012-04-01,55.31
2012-07-01,55.96
2012-10-01,52.71
2013-01-01,52.04
2013-04-01,50.69
2013-07-01,48.77
2013-10-01,49.03
2014-01-01,51.53
2014-04-01,50.33
2014-07-01,46.23
2014-10-01,44.41
2015-01-01,39.41
2015-04-01,40.16
2015-07-01,37.92
2015-10-01,38.61
2016-01-01,35.56
2016-04-01,38.3
2016-07-01,41.33
2016-10-01,37.12
2017-01-01,36.47
2017-04-01,35.74
2017-07-01,35.73
2017-10-01,40.67
2018-01-01,39.24
2018-04-01,36.81
2018-07-01,42.81
2018-10-01,40.43
2019-01-01,41.56
2019-04-01,41.29
2019-07-01,41.79
2019-10-01,46.04
2020-01-01,47.42
2020-04-01,47.54
2020-07-01,60.6
2020-10-01,65.17
2021-01-01,63.02
2021-04-01,62.9
2021-07-01,63.77
2021-10-01,72.71
2022-01-01,66.59
2022-04-01,61.44
2022-07-01,61.16
2022-10-01,59.4
2023-01-01,61.99
2023-04-01,63.49
2023-07-01,71.4
2023-10-01,66.09
2024-01-01,70.26
2024-04-01,74.24
2024-07-01,67.66
2024-10-01,76.61
