,KSKSSMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,0.392
1990-04-01,0.277
1990-07-01,0.219
1990-10-01,0.221
1991-01-01,0.261
1991-04-01,0.205
1991-07-01,0.231
1991-10-01,0.245
1992-01-01,0.226
1992-04-01,0.297
1992-07-01,0.31
1992-10-01,0.313
1993-01-01,0.329
1993-04-01,0.325
1993-07-01,0.274
1993-10-01,0.298
1994-01-01,0.213
1994-04-01,0.379
1994-07-01,0.412
1994-10-01,0.408
1995-01-01,0.407
1995-04-01,0.382
1995-07-01,0.555
1995-10-01,0.68
1996-01-01,0.633
1996-04-01,0.697
1996-07-01,0.599
1996-10-01,0.656
1997-01-01,0.743
1997-04-01,0.674
1997-07-01,0.716
1997-10-01,0.656
1998-01-01,0.765
1998-04-01,0.684
1998-07-01,0.663
1998-10-01,0.6
1999-01-01,0.609
1999-04-01,0.769
1999-07-01,0.707
1999-10-01,0.719
2000-01-01,0.498
2000-04-01,0.773
2000-07-01,0.564
2000-10-01,0.545
2001-01-01,0.572
2001-04-01,0.487
2001-07-01,0.546
2001-10-01,0.616
2002-01-01,0.667
2002-04-01,0.672
2002-07-01,0.762
2002-10-01,0.71
2003-01-01,0.645
2003-04-01,0.625
2003-07-01,0.759
2003-10-01,0.603
2004-01-01,0.651
2004-04-01,0.769
2004-07-01,0.794
2004-10-01,0.666
2005-01-01,0.738
2005-04-01,0.732
2005-07-01,0.653
2005-10-01,0.902
2006-01-01,0.875
2006-04-01,0.813
2006-07-01,0.974
2006-10-01,1.372
2007-01-01,1.207
2007-04-01,1.615
2007-07-01,1.643
2007-10-01,1.428
2008-01-01,1.71
2008-04-01,1.654
2008-07-01,1.036
2008-10-01,0.769
2009-01-01,0.534
2009-04-01,0.67
2009-07-01,1.227
2009-10-01,1.659
2010-01-01,1.713
2010-04-01,1.784
2010-07-01,1.54
2010-10-01,1.427
2011-01-01,1.691
2011-04-01,1.56
2011-07-01,1.588
2011-10-01,1.628
2012-01-01,2.218
2012-04-01,1.996
2012-07-01,2.113
2012-10-01,2.085
2013-01-01,1.641
2013-04-01,1.578
2013-07-01,1.817
2013-10-01,1.678
2014-01-01,1.24
2014-04-01,1.855
2014-07-01,1.541
2014-10-01,1.377
2015-01-01,1.171
2015-04-01,1.079
2015-07-01,0.83
2015-10-01,0.908
2016-01-01,1.196
2016-04-01,1.008
2016-07-01,1.12
2016-10-01,1.101
2017-01-01,1.281
2017-04-01,1.069
2017-07-01,1.065
2017-10-01,0.942
2018-01-01,0.693
2018-04-01,0.756
2018-07-01,0.842
2018-10-01,0.793
2019-01-01,0.649
2019-04-01,0.651
2019-07-01,0.569
2019-10-01,0.686
2020-01-01,0.632
2020-04-01,0.563
2020-07-01,0.822
2020-10-01,1.042
2021-01-01,1.196
2021-04-01,1.151
2021-07-01,0.775
2021-10-01,0.803
2022-01-01,1.039
2022-04-01,1.034
2022-07-01,0.947
2022-10-01,0.662
2023-01-01,0.64
2023-04-01,0.678
2023-07-01,0.833
2023-10-01,0.952
2024-01-01,0.774
2024-04-01,0.86
2024-07-01,0.984
2024-10-01,1.259
