,KSKSSMURR_A
1992-01-01,312.0
1993-01-01,309.0
1994-01-01,370.0
1995-01-01,479.0
1996-01-01,635.0
1997-01-01,709.0
1998-01-01,692.0
1999-01-01,724.0
2000-01-01,602.0
2001-01-01,542.0
2002-01-01,691.0
2003-01-01,676.0
2004-01-01,753.0
2005-01-01,751.0
2006-01-01,959.0
2007-01-01,1485.0
2008-01-01,1288.0
2009-01-01,1101.0
2010-01-01,1638.0
2011-01-01,1608.0
2012-01-01,2025.0
2013-01-01,1658.0
2014-01-01,1577.0
2015-01-01,1000.0
2016-01-01,1092.0
2017-01-01,1078.0
2018-01-01,778.0
2019-01-01,639.0
2020-01-01,774.0
2021-01-01,965.0
2022-01-01,913.0
2023-01-01,786.0
2024-01-01,977.0
