,KSKSTMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,0.392
1990-04-01,0.617
1990-07-01,0.395
1990-10-01,0.277
1991-01-01,0.269
1991-04-01,0.245
1991-07-01,0.499
1991-10-01,0.253
1992-01-01,0.314
1992-04-01,0.345
1992-07-01,0.73
1992-10-01,0.365
1993-01-01,0.653
1993-04-01,0.965
1993-07-01,0.382
1993-10-01,0.362
1994-01-01,0.301
1994-04-01,0.719
1994-07-01,0.54
1994-10-01,1.1
1995-01-01,0.479
1995-04-01,0.69
1995-07-01,0.863
1995-10-01,0.864
1996-01-01,0.937
1996-04-01,1.557
1996-07-01,1.459
1996-10-01,0.924
1997-01-01,0.875
1997-04-01,1.41
1997-07-01,1.248
1997-10-01,1.168
1998-01-01,1.005
1998-04-01,1.36
1998-07-01,1.219
1998-10-01,0.908
1999-01-01,0.941
1999-04-01,1.045
1999-07-01,2.059
1999-10-01,0.955
2000-01-01,0.718
2000-04-01,1.093
2000-07-01,1.152
2000-10-01,0.881
2001-01-01,0.708
2001-04-01,0.727
2001-07-01,1.29
2001-10-01,0.928
2002-01-01,1.099
2002-04-01,1.076
2002-07-01,2.026
2002-10-01,1.802
2003-01-01,1.097
2003-04-01,1.989
2003-07-01,1.743
2003-10-01,0.919
2004-01-01,1.019
2004-04-01,2.409
2004-07-01,0.906
2004-10-01,1.846
2005-01-01,1.054
2005-04-01,1.224
2005-07-01,0.945
2005-10-01,1.046
2006-01-01,1.279
2006-04-01,1.509
2006-07-01,1.53
2006-10-01,1.864
2007-01-01,1.587
2007-04-01,3.031
2007-07-01,2.787
2007-10-01,2.068
2008-01-01,2.934
2008-04-01,3.446
2008-07-01,2.096
2008-10-01,0.817
2009-01-01,0.582
2009-04-01,0.834
2009-07-01,1.371
2009-10-01,2.611
2010-01-01,2.053
2010-04-01,2.1
2010-07-01,2.716
2010-10-01,2.567
2011-01-01,3.123
2011-04-01,3.104
2011-07-01,2.58
2011-10-01,3.204
2012-01-01,3.262
2012-04-01,3.352
2012-07-01,3.973
2012-10-01,4.737
2013-01-01,2.365
2013-04-01,2.338
2013-07-01,4.661
2013-10-01,2.638
2014-01-01,2.764
2014-04-01,4.255
2014-07-01,3.449
2014-10-01,3.361
2015-01-01,2.787
2015-04-01,2.127
2015-07-01,1.694
2015-10-01,2.552
2016-01-01,1.856
2016-04-01,2.08
2016-07-01,2.124
2016-10-01,1.633
2017-01-01,1.777
2017-04-01,1.525
2017-07-01,1.801
2017-10-01,2.386
2018-01-01,1.093
2018-04-01,1.564
2018-07-01,1.698
2018-10-01,2.121
2019-01-01,0.873
2019-04-01,1.335
2019-07-01,1.737
2019-10-01,1.346
2020-01-01,1.444
2020-04-01,1.387
2020-07-01,3.054
2020-10-01,1.714
2021-01-01,3.204
2021-04-01,3.295
2021-07-01,2.627
2021-10-01,1.499
2022-01-01,1.771
2022-04-01,4.342
2022-07-01,2.511
2022-10-01,2.042
2023-01-01,2.008
2023-04-01,2.554
2023-07-01,3.173
2023-10-01,2.816
2024-01-01,1.662
2024-04-01,1.692
2024-07-01,4.176
2024-10-01,3.063
