,KSKUA3BUR
1992-01-01,728.0
1993-01-01,735.0
1994-01-01,776.0
1995-01-01,771.0
1996-01-01,768.0
1997-01-01,748.0
1998-01-01,738.0
1999-01-01,742.0
2000-01-01,737.0
2001-01-01,736.0
2002-01-01,714.0
2003-01-01,708.0
2004-01-01,698.0
2005-01-01,709.0
2006-01-01,709.0
2007-01-01,672.0
2008-01-01,610.0
2009-01-01,607.0
2010-01-01,624.0
2011-01-01,594.0
2012-01-01,586.0
2013-01-01,588.0
2014-01-01,589.0
2015-01-01,618.0
2016-01-01,605.0
2017-01-01,606.0
2018-01-01,619.0
2019-01-01,613.0
2020-01-01,620.0
2021-01-01,621.0
2022-01-01,622.0
2023-01-01,669.0
2024-01-01,713.0
