,KSKVA31RR
1992-01-01,4.8
1993-01-01,3.8
1994-01-01,1.7
1995-01-01,1.2
1996-01-01,0.9
1997-01-01,1.1
1998-01-01,0.6
1999-01-01,0.7
2000-01-01,1.4
2001-01-01,2.0
2002-01-01,2.6
2003-01-01,3.2
2004-01-01,4.8
2005-01-01,3.3
2006-01-01,2.0
2007-01-01,0.6
2008-01-01,1.8
2009-01-01,1.5
2010-01-01,1.6
2011-01-01,1.8
2012-01-01,2.7
2013-01-01,2.6
2014-01-01,3.3
2015-01-01,6.8
2016-01-01,8.6
2017-01-01,9.6
2018-01-01,7.8
2019-01-01,5.4
2020-01-01,5.3
2021-01-01,4.8
2022-01-01,4.0
2023-01-01,2.7
2024-01-01,2.3
