,KSKVA3BRR
1992-01-01,5.3
1993-01-01,1.8
1994-01-01,3.1
1995-01-01,1.9
1996-01-01,1.0
1997-01-01,1.4
1998-01-01,0.7
1999-01-01,0.8
2000-01-01,2.9
2001-01-01,3.9
2002-01-01,5.1
2003-01-01,4.5
2004-01-01,5.6
2005-01-01,4.4
2006-01-01,5.1
2007-01-01,1.2
2008-01-01,2.3
2009-01-01,2.0
2010-01-01,4.8
2011-01-01,2.0
2012-01-01,3.4
2013-01-01,2.7
2014-01-01,4.1
2015-01-01,4.9
2016-01-01,8.6
2017-01-01,7.6
2018-01-01,6.5
2019-01-01,5.8
2020-01-01,5.0
2021-01-01,4.0
2022-01-01,4.1
2023-01-01,2.3
2024-01-01,1.8
