,MWINLIUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,6757.0
1988-04-01,7128.0
1988-07-01,7164.0
1988-10-01,6999.0
1989-01-01,6874.0
1989-04-01,7374.0
1989-07-01,7207.0
1989-10-01,7733.0
1990-01-01,8242.0
1990-04-01,7591.0
1990-07-01,7570.0
1990-10-01,7694.0
1991-01-01,7000.0
1991-04-01,7258.0
1991-07-01,7273.0
1991-10-01,7051.0
1992-01-01,7228.0
1992-04-01,6804.0
1992-07-01,6616.0
1992-10-01,6312.0
1993-01-01,6059.0
1993-04-01,5954.0
1993-07-01,5745.0
1993-10-01,6028.0
1994-01-01,6317.0
1994-04-01,6359.0
1994-07-01,6512.0
1994-10-01,6616.0
1995-01-01,6790.0
1995-04-01,6859.0
1995-07-01,6471.0
1995-10-01,5457.0
1996-01-01,4757.0
1996-04-01,4969.0
1996-07-01,5061.0
1996-10-01,5455.0
1997-01-01,4942.0
1997-04-01,4464.0
1997-07-01,5058.0
1997-10-01,5197.0
1998-01-01,4736.0
1998-04-01,4675.0
1998-07-01,4920.0
1998-10-01,4160.0
1999-01-01,4137.0
1999-04-01,3909.0
1999-07-01,3696.0
1999-10-01,3629.0
2000-01-01,3997.0
2000-04-01,3427.0
2000-07-01,3875.0
2000-10-01,3433.0
2001-01-01,3854.0
2001-04-01,3707.0
2001-07-01,3417.0
2001-10-01,3422.0
2002-01-01,3384.0
2002-04-01,3293.0
2002-07-01,3081.0
2002-10-01,2989.0
2003-01-01,3170.0
2003-04-01,2895.0
2003-07-01,2799.0
2003-10-01,3146.0
2004-01-01,3015.0
2004-04-01,3190.0
2004-07-01,3502.0
2004-10-01,3478.0
2005-01-01,3173.0
2005-04-01,3530.0
2005-07-01,3719.0
2005-10-01,3580.0
2006-01-01,3590.0
2006-04-01,3811.0
2006-07-01,3757.0
2006-10-01,3627.0
2007-01-01,3704.0
2007-04-01,3705.0
2007-07-01,3611.0
2007-10-01,3469.0
2008-01-01,3570.0
2008-04-01,4051.0
2008-07-01,4171.0
2008-10-01,4258.0
2009-01-01,4038.0
2009-04-01,3844.0
2009-07-01,3737.0
2009-10-01,3859.0
2010-01-01,4030.0
2010-04-01,4122.0
2010-07-01,3816.0
2010-10-01,4005.0
2011-01-01,4270.0
2011-04-01,3904.0
2011-07-01,4091.0
2011-10-01,4120.0
2012-01-01,4183.0
2012-04-01,4160.0
2012-07-01,4079.0
2012-10-01,4250.0
2013-01-01,4106.0
2013-04-01,4415.0
2013-07-01,4763.0
2013-10-01,4902.0
2014-01-01,4600.0
2014-04-01,5106.0
2014-07-01,5446.0
2014-10-01,5465.0
2015-01-01,5730.0
2015-04-01,5479.0
2015-07-01,5473.0
2015-10-01,5491.0
2016-01-01,5643.0
2016-04-01,5447.0
2016-07-01,5105.0
2016-10-01,5144.0
2017-01-01,5318.0
2017-04-01,5209.0
2017-07-01,5122.0
2017-10-01,5198.0
2018-01-01,5069.0
2018-04-01,5435.0
2018-07-01,5358.0
2018-10-01,5355.0
2019-01-01,5513.0
2019-04-01,5804.0
2019-07-01,5768.0
2019-10-01,5700.0
2020-01-01,5599.0
2020-04-01,4523.0
2020-07-01,5415.0
2020-10-01,5214.0
2021-01-01,5614.0
2021-04-01,4971.0
2021-07-01,4926.0
2021-10-01,4891.0
2022-01-01,4295.0
2022-04-01,5248.0
2022-07-01,5174.0
2022-10-01,4910.0
2023-01-01,4652.0
2023-04-01,4687.0
2023-07-01,4864.0
2023-10-01,4969.0
2024-01-01,4860.0
2024-04-01,4866.0
2024-07-01,4884.0
2024-10-01,4781.0
