,MWINLIUNR_Q
1980-01-01,4700.0
1980-04-01,5500.0
1980-07-01,5100.0
1980-10-01,2351.0
1981-01-01,4643.0
1981-04-01,5521.0
1981-07-01,4645.0
1981-10-01,3479.0
1982-01-01,6018.0
1982-04-01,6378.0
1982-07-01,5819.0
1982-10-01,4442.0
1983-01-01,5191.0
1983-04-01,5951.0
1983-07-01,5022.0
1983-10-01,3212.0
1984-01-01,5424.0
1984-04-01,5699.0
1984-07-01,4892.0
1984-10-01,3695.0
1985-01-01,5180.0
1985-04-01,5560.0
1985-07-01,4686.0
1985-10-01,3334.0
1986-01-01,4879.0
1986-04-01,7348.0
1986-07-01,5429.0
1986-10-01,3799.0
1987-01-01,6016.0
1987-04-01,7631.0
1987-07-01,6851.0
1987-10-01,4874.0
1988-01-01,7071.0
1988-04-01,8749.0
1988-07-01,7413.0
1988-10-01,4815.0
1989-01-01,7254.0
1989-04-01,9200.0
1989-07-01,7477.0
1989-10-01,5257.0
1990-01-01,8593.0
1990-04-01,9340.0
1990-07-01,7733.0
1990-10-01,5431.0
1991-01-01,7103.0
1991-04-01,8974.0
1991-07-01,7661.0
1991-10-01,4844.0
1992-01-01,7426.0
1992-04-01,8352.0
1992-07-01,6852.0
1992-10-01,4330.0
1993-01-01,6100.0
1993-04-01,7439.0
1993-07-01,6102.0
1993-10-01,4145.0
1994-01-01,6362.0
1994-04-01,8040.0
1994-07-01,6916.0
1994-10-01,4486.0
1995-01-01,6671.0
1995-04-01,8528.0
1995-07-01,6667.0
1995-10-01,3711.0
1996-01-01,4686.0
1996-04-01,6349.0
1996-07-01,5536.0
1996-10-01,3671.0
1997-01-01,5201.0
1997-04-01,5879.0
1997-07-01,5309.0
1997-10-01,3272.0
1998-01-01,4808.0
1998-04-01,6015.0
1998-07-01,5082.0
1998-10-01,2584.0
1999-01-01,4216.0
1999-04-01,5048.0
1999-07-01,3802.0
1999-10-01,2303.0
2000-01-01,3794.0
2000-04-01,4550.0
2000-07-01,4147.0
2000-10-01,2241.0
2001-01-01,3575.0
2001-04-01,4904.0
2001-07-01,3679.0
2001-10-01,2242.0
2002-01-01,3011.0
2002-04-01,4360.0
2002-07-01,3425.0
2002-10-01,1951.0
2003-01-01,2853.0
2003-04-01,3927.0
2003-07-01,3187.0
2003-10-01,2043.0
2004-01-01,2690.0
2004-04-01,4285.0
2004-07-01,3927.0
2004-10-01,2284.0
2005-01-01,2688.0
2005-04-01,4750.0
2005-07-01,4249.0
2005-10-01,2315.0
2006-01-01,3013.0
2006-04-01,5194.0
2006-07-01,4241.0
2006-10-01,2338.0
2007-01-01,3093.0
2007-04-01,5018.0
2007-07-01,4043.0
2007-10-01,2336.0
2008-01-01,2996.0
2008-04-01,5492.0
2008-07-01,4745.0
2008-10-01,2817.0
2009-01-01,3397.0
2009-04-01,5311.0
2009-07-01,4276.0
2009-10-01,2494.0
2010-01-01,3457.0
2010-04-01,5598.0
2010-07-01,4301.0
2010-10-01,2619.0
2011-01-01,3576.0
2011-04-01,5388.0
2011-07-01,4708.0
2011-10-01,2713.0
2012-01-01,3574.0
2012-04-01,5648.0
2012-07-01,4589.0
2012-10-01,2861.0
2013-01-01,3410.0
2013-04-01,6016.0
2013-07-01,5490.0
2013-10-01,3269.0
2014-01-01,3890.0
2014-04-01,6932.0
2014-07-01,6195.0
2014-10-01,3599.0
2015-01-01,4918.0
2015-04-01,7426.0
2015-07-01,6194.0
2015-10-01,3635.0
2016-01-01,4870.0
2016-04-01,7327.0
2016-07-01,5770.0
2016-10-01,3372.0
2017-01-01,4677.0
2017-04-01,7022.0
2017-07-01,5739.0
2017-10-01,3408.0
2018-01-01,4461.0
2018-04-01,7184.0
2018-07-01,5984.0
2018-10-01,3588.0
2019-01-01,4750.0
2019-04-01,7558.0
2019-07-01,6627.0
2019-10-01,3848.0
2020-01-01,4980.0
2020-04-01,6003.0
2020-07-01,6248.0
2020-10-01,3520.0
2021-01-01,5003.0
2021-04-01,6432.0
2021-07-01,5605.0
2021-10-01,3364.0
2022-01-01,3702.0
2022-04-01,6717.0
2022-07-01,5865.0
2022-10-01,3344.0
2023-01-01,4030.0
2023-04-01,6142.0
2023-07-01,5546.0
2023-10-01,3454.0
2024-01-01,4126.0
2024-04-01,6321.0
2024-07-01,5642.0
2024-10-01,3301.0
