,MWINSMURR
1980-01-01,
1980-02-01,
1980-03-01,
1980-04-01,
1980-05-01,
1980-06-01,
1980-07-01,
1980-08-01,
1980-09-01,
1980-10-01,
1980-11-01,
1980-12-01,
1981-01-01,
1981-02-01,
1981-03-01,
1981-04-01,
1981-05-01,
1981-06-01,
1981-07-01,
1981-08-01,
1981-09-01,
1981-10-01,
1981-11-01,
1981-12-01,
1982-01-01,
1982-02-01,
1982-03-01,
1982-04-01,
1982-05-01,
1982-06-01,
1982-07-01,
1982-08-01,
1982-09-01,
1982-10-01,
1982-11-01,
1982-12-01,
1983-01-01,
1983-02-01,
1983-03-01,
1983-04-01,
1983-05-01,
1983-06-01,
1983-07-01,
1983-08-01,
1983-09-01,
1983-10-01,
1983-11-01,
1983-12-01,
1984-01-01,
1984-02-01,
1984-03-01,
1984-04-01,
1984-05-01,
1984-06-01,
1984-07-01,
1984-08-01,
1984-09-01,
1984-10-01,
1984-11-01,
1984-12-01,
1985-01-01,
1985-02-01,
1985-03-01,
1985-04-01,
1985-05-01,
1985-06-01,
1985-07-01,
1985-08-01,
1985-09-01,
1985-10-01,
1985-11-01,
1985-12-01,
1986-01-01,
1986-02-01,
1986-03-01,
1986-04-01,
1986-05-01,
1986-06-01,
1986-07-01,
1986-08-01,
1986-09-01,
1986-10-01,
1986-11-01,
1986-12-01,
1987-01-01,
1987-02-01,
1987-03-01,
1987-04-01,
1987-05-01,
1987-06-01,
1987-07-01,
1987-08-01,
1987-09-01,
1987-10-01,
1987-11-01,
1987-12-01,
1988-01-01,
1988-02-01,
1988-03-01,
1988-04-01,
1988-05-01,
1988-06-01,
1988-07-01,
1988-08-01,
1988-09-01,
1988-10-01,
1988-11-01,
1988-12-01,
1989-01-01,
1989-02-01,
1989-03-01,
1989-04-01,
1989-05-01,
1989-06-01,
1989-07-01,
1989-08-01,
1989-09-01,
1989-10-01,
1989-11-01,
1989-12-01,
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,
1991-04-01,
1991-05-01,
1991-06-01,
1991-07-01,
1991-08-01,
1991-09-01,
1991-10-01,
1991-11-01,
1991-12-01,
1992-01-01,118.0
1992-02-01,115.0
1992-03-01,125.0
1992-04-01,108.0
1992-05-01,119.0
1992-06-01,115.0
1992-07-01,110.0
1992-08-01,114.0
1992-09-01,127.0
1992-10-01,151.0
1992-11-01,147.0
1992-12-01,129.0
1993-01-01,128.0
1993-02-01,145.0
1993-03-01,143.0
1993-04-01,128.0
1993-05-01,121.0
1993-06-01,159.0
1993-07-01,164.0
1993-08-01,162.0
1993-09-01,156.0
1993-10-01,169.0
1993-11-01,187.0
1993-12-01,213.0
1994-01-01,207.0
1994-02-01,198.0
1994-03-01,185.0
1994-04-01,169.0
1994-05-01,153.0
1994-06-01,145.0
1994-07-01,145.0
1994-08-01,155.0
1994-09-01,183.0
1994-10-01,211.0
1994-11-01,234.0
1994-12-01,224.0
1995-01-01,213.0
1995-02-01,201.0
1995-03-01,205.0
1995-04-01,199.0
1995-05-01,269.0
1995-06-01,299.0
1995-07-01,317.0
1995-08-01,319.0
1995-09-01,329.0
1995-10-01,281.0
1995-11-01,266.0
1995-12-01,246.0
1996-01-01,232.0
1996-02-01,210.0
1996-03-01,204.0
1996-04-01,204.0
1996-05-01,192.0
1996-06-01,194.0
1996-07-01,161.0
1996-08-01,147.0
1996-09-01,148.0
1996-10-01,140.0
1996-11-01,123.0
1996-12-01,112.0
1997-01-01,101.0
1997-02-01,91.0
1997-03-01,148.0
1997-04-01,141.0
1997-05-01,143.0
1997-06-01,122.0
1997-07-01,133.0
1997-08-01,154.0
1997-09-01,186.0
1997-10-01,202.0
1997-11-01,190.0
1997-12-01,145.0
1998-01-01,146.0
1998-02-01,138.0
1998-03-01,157.0
1998-04-01,171.0
1998-05-01,169.0
1998-06-01,158.0
1998-07-01,157.0
1998-08-01,166.0
1998-09-01,180.0
1998-10-01,168.0
1998-11-01,172.0
1998-12-01,154.0
1999-01-01,166.0
1999-02-01,154.0
1999-03-01,148.0
1999-04-01,143.0
1999-05-01,140.0
1999-06-01,117.0
1999-07-01,115.0
1999-08-01,101.0
1999-09-01,127.0
1999-10-01,139.0
1999-11-01,137.0
1999-12-01,133.0
2000-01-01,123.0
2000-02-01,128.0
2000-03-01,130.0
2000-04-01,123.0
2000-05-01,131.0
2000-06-01,130.0
2000-07-01,141.0
2000-08-01,141.0
2000-09-01,161.0
2000-10-01,177.0
2000-11-01,184.0
2000-12-01,189.0
2001-01-01,163.0
2001-02-01,154.0
2001-03-01,176.0
2001-04-01,164.0
2001-05-01,175.0
2001-06-01,163.0
2001-07-01,144.0
2001-08-01,118.0
2001-09-01,141.0
2001-10-01,158.0
2001-11-01,159.0
2001-12-01,148.0
2002-01-01,122.0
2002-02-01,118.0
2002-03-01,109.0
2002-04-01,105.0
2002-05-01,136.0
2002-06-01,213.0
2002-07-01,119.0
2002-08-01,103.0
2002-09-01,130.0
2002-10-01,143.0
2002-11-01,123.0
2002-12-01,90.0
2003-01-01,89.0
2003-02-01,90.0
2003-03-01,93.0
2003-04-01,108.0
2003-05-01,124.0
2003-06-01,132.0
2003-07-01,138.0
2003-08-01,134.0
2003-09-01,167.0
2003-10-01,173.0
2003-11-01,167.0
2003-12-01,129.0
2004-01-01,111.0
