,MWIRA3TCR
1992-01-01,480.0
1993-01-01,480.0
1994-01-01,484.0
1995-01-01,488.0
1996-01-01,485.0
1997-01-01,489.0
1998-01-01,494.0
1999-01-01,500.0
2000-01-01,514.0
2001-01-01,521.0
2002-01-01,537.0
2003-01-01,554.0
2004-01-01,568.0
2005-01-01,589.0
2006-01-01,608.0
2007-01-01,638.0
2008-01-01,663.0
2009-01-01,690.0
2010-01-01,719.0
2011-01-01,754.0
2012-01-01,783.0
2013-01-01,836.0
2014-01-01,874.0
2015-01-01,906.0
2016-01-01,927.0
2017-01-01,970.0
2018-01-01,1030.0
2019-01-01,1070.0
2020-01-01,1107.0
2021-01-01,1155.0
2022-01-01,1184.0
2023-01-01,1249.0
2024-01-01,1328.0
