,MWIRAT33CR
1992-01-01,654.0
1993-01-01,664.0
1994-01-01,655.0
1995-01-01,665.0
1996-01-01,655.0
1997-01-01,665.0
1998-01-01,671.0
1999-01-01,677.0
2000-01-01,729.0
2001-01-01,706.0
2002-01-01,724.0
2003-01-01,779.0
2004-01-01,785.0
2005-01-01,795.0
2006-01-01,839.0
2007-01-01,874.0
2008-01-01,920.0
2009-01-01,946.0
2010-01-01,1056.0
2011-01-01,1050.0
2012-01-01,1027.0
2013-01-01,1180.0
2014-01-01,1191.0
2015-01-01,1230.0
2016-01-01,1327.0
2017-01-01,1390.0
2018-01-01,1446.0
2019-01-01,1543.0
2020-01-01,1578.0
2021-01-01,1634.0
2022-01-01,1675.0
2023-01-01,1750.0
2024-01-01,1742.0
