,MWISMMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,0.016
1990-04-01,0.48
1990-07-01,0.472
1990-10-01,0.0
1991-01-01,0.056
1991-04-01,0.0
1991-07-01,1.024
1991-10-01,0.292
1992-01-01,0.552
1992-04-01,0.0
1992-07-01,0.716
1992-10-01,0.168
1993-01-01,0.036
1993-04-01,0.076
1993-07-01,0.852
1993-10-01,0.356
1994-01-01,0.344
1994-04-01,0.46
1994-07-01,0.292
1994-10-01,0.216
1995-01-01,0.088
1995-04-01,0.252
1995-07-01,0.636
1995-10-01,0.08
1996-01-01,0.212
1996-04-01,0.532
1996-07-01,0.072
1996-10-01,0.372
1997-01-01,0.4
1997-04-01,0.532
1997-07-01,0.276
1997-10-01,0.096
1998-01-01,0.096
1998-04-01,1.332
1998-07-01,0.088
1998-10-01,0.024
1999-01-01,0.82
1999-04-01,0.708
1999-07-01,0.696
1999-10-01,0.048
2000-01-01,0.016
2000-04-01,0.048
2000-07-01,0.324
2000-10-01,0.04
2001-01-01,0.084
2001-04-01,0.28
2001-07-01,0.42
2001-10-01,0.156
2002-01-01,0.152
2002-04-01,0.056
2002-07-01,0.812
2002-10-01,0.152
2003-01-01,0.192
2003-04-01,0.268
2003-07-01,1.332
2003-10-01,1.364
2004-01-01,0.076
2004-04-01,0.288
2004-07-01,1.824
2004-10-01,0.24
2005-01-01,0.448
2005-04-01,0.708
2005-07-01,1.396
2005-10-01,0.768
2006-01-01,0.62
2006-04-01,1.304
2006-07-01,0.548
2006-10-01,1.688
2007-01-01,1.34
2007-04-01,1.86
2007-07-01,1.728
2007-10-01,1.076
2008-01-01,0.712
2008-04-01,1.572
2008-07-01,0.82
2008-10-01,1.212
2009-01-01,0.392
2009-04-01,0.212
2009-07-01,1.2
2009-10-01,0.308
2010-01-01,1.196
2010-04-01,0.924
2010-07-01,2.38
2010-10-01,0.792
2011-01-01,0.568
2011-04-01,1.396
2011-07-01,1.212
2011-10-01,2.14
2012-01-01,1.432
2012-04-01,2.476
2012-07-01,2.644
2012-10-01,1.192
2013-01-01,1.932
2013-04-01,2.22
2013-07-01,3.568
2013-10-01,2.228
2014-01-01,0.7
2014-04-01,3.216
2014-07-01,3.928
2014-10-01,1.64
2015-01-01,1.84
2015-04-01,2.396
2015-07-01,4.756
2015-10-01,2.012
2016-01-01,1.356
2016-04-01,2.24
2016-07-01,3.04
2016-10-01,2.148
2017-01-01,4.264
2017-04-01,3.652
2017-07-01,1.42
2017-10-01,2.96
2018-01-01,2.184
2018-04-01,2.712
2018-07-01,5.892
2018-10-01,3.252
2019-01-01,2.732
2019-04-01,5.308
2019-07-01,2.528
2019-10-01,2.648
2020-01-01,3.052
2020-04-01,3.616
2020-07-01,2.448
2020-10-01,4.436
2021-01-01,3.732
2021-04-01,3.72
2021-07-01,3.932
2021-10-01,2.724
2022-01-01,4.364
2022-04-01,3.712
2022-07-01,2.256
2022-10-01,5.44
2023-01-01,4.324
2023-04-01,4.076
2023-07-01,4.512
2023-10-01,3.204
2024-01-01,2.4
2024-04-01,4.48
2024-07-01,3.576
2024-10-01,4.412
