,MWISSMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,3.832
1990-04-01,2.007
1990-07-01,1.633
1990-10-01,1.062
1991-01-01,1.191
1991-04-01,0.812
1991-07-01,1.115
1991-10-01,0.982
1992-01-01,1.169
1992-04-01,1.189
1992-07-01,1.157
1992-10-01,1.527
1993-01-01,1.027
1993-04-01,1.219
1993-07-01,1.055
1993-10-01,1.504
1994-01-01,1.231
1994-04-01,1.464
1994-07-01,1.3
1994-10-01,0.759
1995-01-01,0.877
1995-04-01,0.921
1995-07-01,0.832
1995-10-01,0.74
1996-01-01,0.554
1996-04-01,0.845
1996-07-01,0.924
1996-10-01,0.914
1997-01-01,1.21
1997-04-01,1.101
1997-07-01,1.238
1997-10-01,1.237
1998-01-01,1.164
1998-04-01,1.139
1998-07-01,1.275
1998-10-01,1.142
1999-01-01,1.182
1999-04-01,1.193
1999-07-01,1.224
1999-10-01,1.206
2000-01-01,1.128
2000-04-01,1.282
2000-07-01,1.136
2000-10-01,1.291
2001-01-01,1.279
2001-04-01,1.185
2001-07-01,1.287
2001-10-01,1.213
2002-01-01,1.291
2002-04-01,1.617
2002-07-01,1.546
2002-10-01,1.58
2003-01-01,1.61
2003-04-01,1.564
2003-07-01,1.638
2003-10-01,1.779
2004-01-01,1.807
2004-04-01,1.878
2004-07-01,1.902
2004-10-01,1.934
2005-01-01,1.805
2005-04-01,1.62
2005-07-01,1.823
2005-10-01,1.801
2006-01-01,1.968
2006-04-01,1.713
2006-07-01,1.642
2006-10-01,1.695
2007-01-01,1.909
2007-04-01,1.843
2007-07-01,1.881
2007-10-01,1.852
2008-01-01,1.853
2008-04-01,2.064
2008-07-01,1.873
2008-10-01,1.893
2009-01-01,1.51
2009-04-01,1.306
2009-07-01,1.386
2009-10-01,1.861
2010-01-01,1.939
2010-04-01,1.903
2010-07-01,2.005
2010-10-01,1.816
2011-01-01,1.877
2011-04-01,1.943
2011-07-01,2.0
2011-10-01,2.165
2012-01-01,2.166
2012-04-01,1.998
2012-07-01,2.261
2012-10-01,2.079
2013-01-01,2.265
2013-04-01,2.632
2013-07-01,1.851
2013-10-01,2.17
2014-01-01,1.786
2014-04-01,1.971
2014-07-01,1.899
2014-10-01,1.812
2015-01-01,1.727
2015-04-01,1.549
2015-07-01,1.634
2015-10-01,1.738
2016-01-01,1.741
2016-04-01,1.782
2016-07-01,1.838
2016-10-01,2.087
2017-01-01,2.539
2017-04-01,2.433
2017-07-01,2.263
2017-10-01,2.097
2018-01-01,2.0
2018-04-01,1.824
2018-07-01,1.919
2018-10-01,1.779
2019-01-01,1.717
2019-04-01,1.746
2019-07-01,1.656
2019-10-01,1.518
2020-01-01,1.99
2020-04-01,1.339
2020-07-01,1.492
2020-10-01,1.908
2021-01-01,2.157
2021-04-01,2.318
2021-07-01,2.225
2021-10-01,1.921
2022-01-01,1.642
2022-04-01,1.877
2022-07-01,2.233
2022-10-01,1.862
2023-01-01,1.678
2023-04-01,1.479
2023-07-01,1.214
2023-10-01,1.399
2024-01-01,1.583
2024-04-01,1.208
2024-07-01,1.488
2024-10-01,1.513
