,MWIUA32UR
1992-01-01,22432.0
1993-01-01,22199.0
1994-01-01,21835.0
1995-01-01,21182.0
1996-01-01,20814.0
1997-01-01,20503.0
1998-01-01,20339.0
1999-01-01,20237.0
2000-01-01,20476.0
2001-01-01,20150.0
2002-01-01,20161.0
2003-01-01,20474.0
2004-01-01,20470.0
2005-01-01,20395.0
2006-01-01,20287.0
2007-01-01,20347.0
2008-01-01,20541.0
2009-01-01,21144.0
2010-01-01,20914.0
2011-01-01,21268.0
2012-01-01,21441.0
2013-01-01,21463.0
2014-01-01,22374.0
2015-01-01,23194.0
2016-01-01,23387.0
2017-01-01,24506.0
2018-01-01,25757.0
2019-01-01,26197.0
2020-01-01,26982.0
2021-01-01,28641.0
2022-01-01,29769.0
2023-01-01,30802.0
2024-01-01,32316.0
