,MWIVA33RR
1992-01-01,4.2
1993-01-01,4.7
1994-01-01,3.1
1995-01-01,4.9
1996-01-01,4.4
1997-01-01,3.9
1998-01-01,4.0
1999-01-01,2.5
2000-01-01,1.1
2001-01-01,0.4
2002-01-01,0.8
2003-01-01,0.3
2004-01-01,1.9
2005-01-01,1.1
2006-01-01,0.7
2007-01-01,1.6
2008-01-01,1.2
2009-01-01,1.1
2010-01-01,1.6
2011-01-01,1.1
2012-01-01,1.1
2013-01-01,2.9
2014-01-01,2.0
2015-01-01,1.1
2016-01-01,3.6
2017-01-01,2.9
2018-01-01,3.7
2019-01-01,5.9
2020-01-01,2.5
2021-01-01,4.4
2022-01-01,3.0
2023-01-01,1.7
2024-01-01,1.8
