,MWIVA3BRR
1992-01-01,6.7
1993-01-01,5.0
1994-01-01,6.6
1995-01-01,6.1
1996-01-01,7.9
1997-01-01,8.1
1998-01-01,7.0
1999-01-01,4.6
2000-01-01,4.7
2001-01-01,3.4
2002-01-01,2.2
2003-01-01,2.7
2004-01-01,1.4
2005-01-01,3.1
2006-01-01,2.2
2007-01-01,1.8
2008-01-01,1.9
2009-01-01,2.0
2010-01-01,1.2
2011-01-01,1.6
2012-01-01,1.7
2013-01-01,2.7
2014-01-01,3.7
2015-01-01,3.0
2016-01-01,2.1
2017-01-01,2.7
2018-01-01,2.6
2019-01-01,3.2
2020-01-01,3.9
2021-01-01,6.4
2022-01-01,3.1
2023-01-01,2.8
2024-01-01,1.4
