,new_list_sa
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,6427.0
1988-04-01,6613.0
1988-07-01,6592.0
1988-10-01,6441.0
1989-01-01,5806.0
1989-04-01,7036.0
1989-07-01,6943.0
1989-10-01,7462.0
1990-01-01,9253.0
1990-04-01,8528.0
1990-07-01,8644.0
1990-10-01,9752.0
1991-01-01,8074.0
1991-04-01,8557.0
1991-07-01,8909.0
1991-10-01,8668.0
1992-01-01,9581.0
1992-04-01,8586.0
1992-07-01,9191.0
1992-10-01,9091.0
1993-01-01,8950.0
1993-04-01,9116.0
1993-07-01,8995.0
1993-10-01,9216.0
1994-01-01,8894.0
1994-04-01,7512.0
1994-07-01,7012.0
1994-10-01,7038.0
1995-01-01,6965.0
1995-04-01,6863.0
1995-07-01,6904.0
1995-10-01,6466.0
1996-01-01,7159.0
1996-04-01,6904.0
1996-07-01,6733.0
1996-10-01,7112.0
1997-01-01,7068.0
1997-04-01,6721.0
1997-07-01,6185.0
1997-10-01,6534.0
1998-01-01,6298.0
1998-04-01,7380.0
1998-07-01,8217.0
1998-10-01,7933.0
1999-01-01,7591.0
1999-04-01,7665.0
1999-07-01,7366.0
1999-10-01,7438.0
2000-01-01,7687.0
2000-04-01,7988.0
2000-07-01,8061.0
2000-10-01,8586.0
2001-01-01,8443.0
2001-04-01,8035.0
2001-07-01,7695.0
2001-10-01,8502.0
2002-01-01,8196.0
2002-04-01,8029.0
2002-07-01,8398.0
2002-10-01,9282.0
2003-01-01,9206.0
2003-04-01,9754.0
2003-07-01,10088.0
2003-10-01,10228.0
2004-01-01,10495.0
2004-04-01,10266.0
2004-07-01,9995.0
2004-10-01,10413.0
2005-01-01,10760.0
2005-04-01,10276.0
2005-07-01,9041.0
2005-10-01,9743.0
2006-01-01,9691.0
2006-04-01,10321.0
2006-07-01,12780.0
2006-10-01,11932.0
2007-01-01,12315.0
2007-04-01,14679.0
2007-07-01,14163.0
2007-10-01,13045.0
2008-01-01,16561.0
2008-04-01,15601.0
2008-07-01,13272.0
2008-10-01,12255.0
2009-01-01,10953.0
2009-04-01,10017.0
2009-07-01,10725.0
2009-10-01,11272.0
2010-01-01,12829.0
2010-04-01,13370.0
2010-07-01,10749.0
2010-10-01,10832.0
2011-01-01,11756.0
2011-04-01,11135.0
2011-07-01,11589.0
2011-10-01,11031.0
2012-01-01,11390.0
2012-04-01,11463.0
2012-07-01,10561.0
2012-10-01,10545.0
2013-01-01,11004.0
2013-04-01,11321.0
2013-07-01,11157.0
2013-10-01,11021.0
2014-01-01,11200.0
2014-04-01,13657.0
2014-07-01,12744.0
2014-10-01,12270.0
2015-01-01,12039.0
2015-04-01,9721.0
2015-07-01,11246.0
2015-10-01,11902.0
2016-01-01,11608.0
2016-04-01,9961.0
2016-07-01,10508.0
2016-10-01,10746.0
2017-01-01,10769.0
2017-04-01,11503.0
2017-07-01,11503.0
2017-10-01,11612.0
2018-01-01,10871.0
2018-04-01,12478.0
2018-07-01,11596.0
2018-10-01,10951.0
2019-01-01,10441.0
2019-04-01,9516.0
2019-07-01,10483.0
2019-10-01,10908.0
2020-01-01,9725.0
2020-04-01,5928.0
2020-07-01,10889.0
2020-10-01,10986.0
2021-01-01,12366.0
2021-04-01,13414.0
2021-07-01,11370.0
2021-10-01,11658.0
2022-01-01,15783.0
