,KRENLIUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,1399.0
1988-04-01,1478.0
1988-07-01,1469.0
1988-10-01,1392.0
1989-01-01,1551.0
1989-04-01,1559.0
1989-07-01,1419.0
1989-10-01,1451.0
1990-01-01,1367.0
1990-04-01,1348.0
1990-07-01,1299.0
1990-10-01,1305.0
1991-01-01,1237.0
1991-04-01,1167.0
1991-07-01,1225.0
1991-10-01,1177.0
1992-01-01,1329.0
1992-04-01,1176.0
1992-07-01,1179.0
1992-10-01,1105.0
1993-01-01,1040.0
1993-04-01,1045.0
1993-07-01,1089.0
1993-10-01,1075.0
1994-01-01,1038.0
1994-04-01,1086.0
1994-07-01,1132.0
1994-10-01,1059.0
1995-01-01,1035.0
1995-04-01,974.0
1995-07-01,959.0
1995-10-01,1051.0
1996-01-01,1167.0
1996-04-01,1064.0
1996-07-01,1038.0
1996-10-01,1069.0
1997-01-01,1052.0
1997-04-01,1143.0
1997-07-01,1203.0
1997-10-01,909.0
1998-01-01,941.0
1998-04-01,964.0
1998-07-01,987.0
1998-10-01,946.0
1999-01-01,884.0
1999-04-01,965.0
1999-07-01,969.0
1999-10-01,894.0
2000-01-01,1041.0
2000-04-01,1052.0
2000-07-01,1108.0
2000-10-01,1079.0
2001-01-01,1182.0
2001-04-01,1194.0
2001-07-01,1145.0
2001-10-01,1135.0
2002-01-01,1130.0
2002-04-01,1133.0
2002-07-01,1009.0
2002-10-01,998.0
2003-01-01,972.0
2003-04-01,798.0
2003-07-01,796.0
2003-10-01,935.0
2004-01-01,873.0
2004-04-01,1004.0
2004-07-01,973.0
2004-10-01,998.0
2005-01-01,913.0
2005-04-01,939.0
2005-07-01,1015.0
2005-10-01,1121.0
2006-01-01,1063.0
2006-04-01,1019.0
2006-07-01,971.0
2006-10-01,960.0
2007-01-01,1043.0
2007-04-01,1065.0
2007-07-01,1222.0
2007-10-01,1167.0
2008-01-01,1232.0
2008-04-01,1753.0
2008-07-01,1713.0
2008-10-01,1544.0
2009-01-01,1638.0
2009-04-01,1488.0
2009-07-01,1344.0
2009-10-01,1415.0
2010-01-01,1492.0
2010-04-01,1533.0
2010-07-01,1375.0
2010-10-01,1358.0
2011-01-01,1429.0
2011-04-01,1471.0
2011-07-01,1451.0
2011-10-01,1423.0
2012-01-01,1448.0
2012-04-01,1393.0
2012-07-01,1497.0
2012-10-01,1517.0
2013-01-01,1527.0
2013-04-01,1713.0
2013-07-01,1823.0
2013-10-01,1659.0
2014-01-01,1755.0
2014-04-01,1847.0
2014-07-01,1868.0
2014-10-01,1986.0
2015-01-01,1872.0
2015-04-01,1805.0
2015-07-01,1753.0
2015-10-01,1726.0
2016-01-01,1722.0
2016-04-01,1637.0
2016-07-01,1686.0
2016-10-01,1700.0
2017-01-01,1781.0
2017-04-01,1903.0
2017-07-01,1771.0
2017-10-01,1866.0
2018-01-01,1899.0
2018-04-01,1818.0
2018-07-01,1713.0
2018-10-01,1645.0
2019-01-01,1656.0
2019-04-01,1708.0
2019-07-01,1574.0
2019-10-01,1506.0
2020-01-01,1529.0
2020-04-01,1274.0
2020-07-01,1719.0
2020-10-01,1709.0
2021-01-01,1796.0
2021-04-01,1810.0
2021-07-01,1674.0
2021-10-01,1700.0
2022-01-01,1644.0
2022-04-01,1860.0
2022-07-01,1600.0
2022-10-01,1506.0
2023-01-01,1451.0
2023-04-01,1441.0
2023-07-01,1553.0
2023-10-01,1606.0
2024-01-01,1482.0
2024-04-01,1484.0
2024-07-01,1580.0
2024-10-01,1494.0
