,KREPA32RR
1992-01-01,1.0
1993-01-01,1.2
1994-01-01,-93.0
1995-01-01,0.8
1996-01-01,1.7
1997-01-01,3.6
1998-01-01,3.3
1999-01-01,3.2
2000-01-01,2.8
2001-01-01,3.5
2002-01-01,1.4
2003-01-01,1.6
2004-01-01,1.3
2005-01-01,1.4
2006-01-01,2.0
2007-01-01,6.2
2008-01-01,13.5
2009-01-01,10.2
2010-01-01,6.3
2011-01-01,6.2
2012-01-01,4.8
2013-01-01,3.7
2014-01-01,3.0
2015-01-01,-93.0
2016-01-01,-93.0
2017-01-01,0.6
2018-01-01,-0.5
2019-01-01,-0.2
2020-01-01,0.8
2021-01-01,-93.0
2022-01-01,3.3
2023-01-01,7.9
2024-01-01,8.5
