,KREPA3BRR
1992-01-01,2.2
1993-01-01,-99.0
1994-01-01,-93.0
1995-01-01,1.4
1996-01-01,0.8
1997-01-01,3.1
1998-01-01,5.5
1999-01-01,4.0
2000-01-01,2.2
2001-01-01,4.4
2002-01-01,3.4
2003-01-01,1.2
2004-01-01,2.9
2005-01-01,2.8
2006-01-01,1.6
2007-01-01,5.6
2008-01-01,13.9
2009-01-01,10.6
2010-01-01,7.6
2011-01-01,7.8
2012-01-01,6.9
2013-01-01,3.9
2014-01-01,4.9
2015-01-01,2.1
2016-01-01,1.3
2017-01-01,-93.0
2018-01-01,-0.6
2019-01-01,-0.5
2020-01-01,0.8
2021-01-01,-93.0
2022-01-01,6.7
2023-01-01,7.1
2024-01-01,9.6
