,KRERA3TCR
1992-01-01,434.0
1993-01-01,439.0
1994-01-01,432.0
1995-01-01,437.0
1996-01-01,444.0
1997-01-01,461.0
1998-01-01,471.0
1999-01-01,495.0
2000-01-01,497.0
2001-01-01,511.0
2002-01-01,522.0
2003-01-01,530.0
2004-01-01,543.0
2005-01-01,547.0
2006-01-01,559.0
2007-01-01,600.0
2008-01-01,687.0
2009-01-01,752.0
2010-01-01,802.0
2011-01-01,850.0
2012-01-01,896.0
2013-01-01,938.0
2014-01-01,988.0
2015-01-01,1007.0
2016-01-01,1023.0
2017-01-01,1026.0
2018-01-01,1041.0
2019-01-01,1035.0
2020-01-01,1061.0
2021-01-01,1061.0
2022-01-01,1092.0
2023-01-01,1200.0
2024-01-01,1315.0
