,KRESSMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,0.431
1990-04-01,0.382
1990-07-01,0.298
1990-10-01,0.202
1991-01-01,0.14
1991-04-01,0.141
1991-07-01,0.153
1991-10-01,0.205
1992-01-01,0.607
1992-04-01,0.572
1992-07-01,0.62
1992-10-01,0.403
1993-01-01,0.546
1993-04-01,0.482
1993-07-01,0.345
1993-10-01,0.369
1994-01-01,0.402
1994-04-01,0.384
1994-07-01,0.357
1994-10-01,0.439
1995-01-01,0.296
1995-04-01,0.289
1995-07-01,0.392
1995-10-01,0.308
1996-01-01,0.295
1996-04-01,0.366
1996-07-01,0.414
1996-10-01,0.322
1997-01-01,0.394
1997-04-01,0.355
1997-07-01,0.35
1997-10-01,0.399
1998-01-01,0.44
1998-04-01,0.498
1998-07-01,0.501
1998-10-01,0.404
1999-01-01,0.385
1999-04-01,0.414
1999-07-01,0.362
1999-10-01,0.447
2000-01-01,0.545
2000-04-01,0.459
2000-07-01,0.478
2000-10-01,0.369
2001-01-01,0.367
2001-04-01,0.417
2001-07-01,0.355
2001-10-01,0.475
2002-01-01,0.453
2002-04-01,0.473
2002-07-01,0.531
2002-10-01,0.519
2003-01-01,0.503
2003-04-01,0.467
2003-07-01,0.49
2003-10-01,0.643
2004-01-01,0.416
2004-04-01,0.571
2004-07-01,0.728
2004-10-01,0.634
2005-01-01,0.5
2005-04-01,0.59
2005-07-01,0.576
2005-10-01,0.578
2006-01-01,0.8
2006-04-01,0.693
2006-07-01,0.682
2006-10-01,0.861
2007-01-01,0.77
2007-04-01,0.827
2007-07-01,0.911
2007-10-01,0.924
2008-01-01,1.088
2008-04-01,0.955
2008-07-01,0.978
2008-10-01,0.918
2009-01-01,0.581
2009-04-01,0.623
2009-07-01,0.468
2009-10-01,0.619
2010-01-01,0.74
2010-04-01,0.68
2010-07-01,0.708
2010-10-01,0.718
2011-01-01,0.805
2011-04-01,0.984
2011-07-01,0.931
2011-10-01,1.125
2012-01-01,1.239
2012-04-01,1.379
2012-07-01,1.464
2012-10-01,1.026
2013-01-01,1.328
2013-04-01,1.202
2013-07-01,1.29
2013-10-01,1.145
2014-01-01,0.845
2014-04-01,0.713
2014-07-01,0.717
2014-10-01,0.594
2015-01-01,0.451
2015-04-01,0.524
2015-07-01,0.478
2015-10-01,0.576
2016-01-01,0.699
2016-04-01,0.67
2016-07-01,0.581
2016-10-01,0.723
2017-01-01,0.729
2017-04-01,0.807
2017-07-01,0.79
2017-10-01,0.439
2018-01-01,0.51
2018-04-01,0.354
2018-07-01,0.335
2018-10-01,0.248
2019-01-01,0.238
2019-04-01,0.214
2019-07-01,0.239
2019-10-01,0.29
2020-01-01,0.331
2020-04-01,0.172
2020-07-01,0.291
2020-10-01,0.356
2021-01-01,0.331
2021-04-01,0.445
2021-07-01,0.384
2021-10-01,0.426
2022-01-01,0.467
2022-04-01,0.405
2022-07-01,0.279
2022-10-01,0.191
2023-01-01,0.126
2023-04-01,0.173
2023-07-01,0.29
2023-10-01,0.225
2024-01-01,0.232
2024-04-01,0.254
2024-07-01,0.307
2024-10-01,0.329
