,KREUA32UR
1992-01-01,6042.0
1993-01-01,6020.0
1994-01-01,5863.0
1995-01-01,5794.0
1996-01-01,5735.0
1997-01-01,5702.0
1998-01-01,5688.0
1999-01-01,5732.0
2000-01-01,5616.0
2001-01-01,5398.0
2002-01-01,5312.0
2003-01-01,5384.0
2004-01-01,5440.0
2005-01-01,5409.0
2006-01-01,5407.0
2007-01-01,5437.0
2008-01-01,5306.0
2009-01-01,5260.0
2010-01-01,5202.0
2011-01-01,5157.0
2012-01-01,5225.0
2013-01-01,5373.0
2014-01-01,5884.0
2015-01-01,6329.0
2016-01-01,6551.0
2017-01-01,6675.0
2018-01-01,7117.0
2019-01-01,7355.0
2020-01-01,7457.0
2021-01-01,7427.0
2022-01-01,7462.0
2023-01-01,7507.0
2024-01-01,7696.0
