,KREUA3BUR
1992-01-01,805.0
1993-01-01,792.0
1994-01-01,790.0
1995-01-01,802.0
1996-01-01,800.0
1997-01-01,791.0
1998-01-01,791.0
1999-01-01,785.0
2000-01-01,782.0
2001-01-01,790.0
2002-01-01,784.0
2003-01-01,780.0
2004-01-01,750.0
2005-01-01,736.0
2006-01-01,722.0
2007-01-01,725.0
2008-01-01,728.0
2009-01-01,702.0
2010-01-01,713.0
2011-01-01,716.0
2012-01-01,691.0
2013-01-01,675.0
2014-01-01,665.0
2015-01-01,652.0
2016-01-01,650.0
2017-01-01,655.0
2018-01-01,636.0
2019-01-01,627.0
2020-01-01,661.0
2021-01-01,652.0
2022-01-01,662.0
2023-01-01,640.0
2024-01-01,681.0
