,KREVA3TRR
1992-01-01,3.6
1993-01-01,3.6
1994-01-01,3.2
1995-01-01,2.1
1996-01-01,1.9
1997-01-01,1.5
1998-01-01,1.7
1999-01-01,1.4
2000-01-01,1.4
2001-01-01,2.1
2002-01-01,1.9
2003-01-01,2.1
2004-01-01,2.7
2005-01-01,3.2
2006-01-01,3.3
2007-01-01,1.7
2008-01-01,0.5
2009-01-01,0.6
2010-01-01,1.0
2011-01-01,0.6
2012-01-01,1.0
2013-01-01,1.8
2014-01-01,3.0
2015-01-01,5.4
2016-01-01,5.5
2017-01-01,7.0
2018-01-01,7.7
2019-01-01,7.8
2020-01-01,7.5
2021-01-01,7.1
2022-01-01,3.2
2023-01-01,1.4
2024-01-01,2.6
