,rent_thrbd
1992-01-01,616.0
1993-01-01,597.0
1994-01-01,589.0
1995-01-01,597.0
1996-01-01,602.0
1997-01-01,630.0
1998-01-01,682.0
1999-01-01,704.0
2000-01-01,713.0
2001-01-01,751.0
2002-01-01,777.0
2003-01-01,787.0
2004-01-01,766.0
2005-01-01,775.0
2006-01-01,884.0
2007-01-01,1046.0
2008-01-01,1063.0
2009-01-01,1074.0
2010-01-01,1057.0
2011-01-01,1077.0
2012-01-01,1096.0
2013-01-01,1162.0
2014-01-01,1262.0
2015-01-01,1286.0
2016-01-01,1258.0
2017-01-01,1254.0
2018-01-01,1244.0
2019-01-01,1255.0
2020-01-01,1296.0
2021-01-01,1347.0
