,rent_tot
1992-01-01,532.0
1993-01-01,520.0
1994-01-01,519.0
1995-01-01,517.0
1996-01-01,525.0
1997-01-01,561.0
1998-01-01,628.0
1999-01-01,657.0
2000-01-01,663.0
2001-01-01,702.0
2002-01-01,716.0
2003-01-01,721.0
2004-01-01,716.0
2005-01-01,723.0
2006-01-01,851.0
2007-01-01,974.0
2008-01-01,1031.0
2009-01-01,991.0
2010-01-01,969.0
2011-01-01,978.0
2012-01-01,1039.0
2013-01-01,1118.0
2014-01-01,1213.0
2015-01-01,1212.0
2016-01-01,1143.0
2017-01-01,1128.0
2018-01-01,1149.0
2019-01-01,1181.0
2020-01-01,1195.0
2021-01-01,1222.0
