,sales_act
1980-01-01,2886.0
1980-04-01,2590.0
1980-07-01,3298.0
1980-10-01,2825.0
1981-01-01,3296.0
1981-04-01,3690.0
1981-07-01,2552.0
1981-10-01,2237.0
1982-01-01,2258.0
1982-04-01,1452.0
1982-07-01,1427.0
1982-10-01,1715.0
1983-01-01,1753.0
1983-04-01,1913.0
1983-07-01,1890.0
1983-10-01,1409.0
1984-01-01,2457.0
1984-04-01,2323.0
1984-07-01,2211.0
1984-10-01,2190.0
1985-01-01,3212.0
1985-04-01,4087.0
1985-07-01,3744.0
1985-10-01,3231.0
1986-01-01,2969.0
1986-04-01,3036.0
1986-07-01,3016.0
1986-10-01,2273.0
1987-01-01,3643.0
1987-04-01,4309.0
1987-07-01,3699.0
1987-10-01,2686.0
1988-01-01,3282.0
1988-04-01,5245.0
1988-07-01,4210.0
1988-10-01,3191.0
1989-01-01,4482.0
1989-04-01,4546.0
1989-07-01,4850.0
1989-10-01,5254.0
1990-01-01,5808.0
1990-04-01,3160.0
1990-07-01,4003.0
1990-10-01,3352.0
1991-01-01,4342.0
1991-04-01,4899.0
1991-07-01,3973.0
1991-10-01,3066.0
1992-01-01,5189.0
1992-04-01,4857.0
1992-07-01,4672.0
1992-10-01,4003.0
1993-01-01,3658.0
1993-04-01,5605.0
1993-07-01,4879.0
1993-10-01,3923.0
1994-01-01,4391.0
1994-04-01,4676.0
1994-07-01,3454.0
1994-10-01,2941.0
1995-01-01,2803.0
1995-04-01,3797.0
1995-07-01,3661.0
1995-10-01,2742.0
1996-01-01,3800.0
1996-04-01,4916.0
1996-07-01,4369.0
1996-10-01,4681.0
1997-01-01,4982.0
1997-04-01,6003.0
1997-07-01,5875.0
1997-10-01,4699.0
1998-01-01,4498.0
1998-04-01,6612.0
1998-07-01,5289.0
1998-10-01,4155.0
1999-01-01,4612.0
1999-04-01,6068.0
1999-07-01,5357.0
1999-10-01,4160.0
2000-01-01,4796.0
2000-04-01,5747.0
2000-07-01,5156.0
2000-10-01,4129.0
2001-01-01,4966.0
2001-04-01,6521.0
2001-07-01,5883.0
2001-10-01,5142.0
2002-01-01,6474.0
2002-04-01,7006.0
2002-07-01,6311.0
2002-10-01,4915.0
2003-01-01,5602.0
2003-04-01,7126.0
2003-07-01,6588.0
2003-10-01,5043.0
2004-01-01,6242.0
2004-04-01,7743.0
2004-07-01,6857.0
2004-10-01,5669.0
2005-01-01,6812.0
2005-04-01,9521.0
2005-07-01,8158.0
2005-10-01,7078.0
2006-01-01,8965.0
2006-04-01,10327.0
2006-07-01,7282.0
2006-10-01,6453.0
2007-01-01,9918.0
2007-04-01,10058.0
2007-07-01,6906.0
2007-10-01,5294.0
2008-01-01,6409.0
2008-04-01,7253.0
2008-07-01,6335.0
2008-10-01,3425.0
2009-01-01,4129.0
2009-04-01,7968.0
2009-07-01,7457.0
2009-10-01,5580.0
2010-01-01,5805.0
2010-04-01,6411.0
2010-07-01,4837.0
2010-10-01,4172.0
2011-01-01,5533.0
2011-04-01,6838.0
2011-07-01,5792.0
2011-10-01,4669.0
2012-01-01,6149.0
2012-04-01,8713.0
2012-07-01,6894.0
2012-10-01,5369.0
2013-01-01,6366.0
2013-04-01,9379.0
2013-07-01,8442.0
2013-10-01,6247.0
2014-01-01,7436.0
2014-04-01,10943.0
2014-07-01,9179.0
2014-10-01,6620.0
2015-01-01,5060.0
2015-04-01,8144.0
2015-07-01,6666.0
2015-10-01,4637.0
2016-01-01,4485.0
2016-04-01,7415.0
2016-07-01,6265.0
2016-10-01,4882.0
2017-01-01,5300.0
2017-04-01,7847.0
2017-07-01,6172.0
2017-10-01,5012.0
2018-01-01,4457.0
2018-04-01,6629.0
2018-07-01,5729.0
2018-10-01,4192.0
2019-01-01,4076.0
2019-04-01,6796.0
2019-07-01,6055.0
2019-10-01,4436.0
2020-01-01,4234.0
2020-04-01,4657.0
2020-07-01,7219.0
2020-10-01,5995.0
2021-01-01,8027.0
2021-04-01,12340.0
2021-07-01,8876.0
2021-10-01,7859.0
2022-01-01,12100.0
