,KSKNLIUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,1458.0
1988-04-01,1586.0
1988-07-01,1743.0
1988-10-01,1675.0
1989-01-01,1564.0
1989-04-01,1732.0
1989-07-01,1594.0
1989-10-01,1584.0
1990-01-01,1571.0
1990-04-01,1486.0
1990-07-01,1532.0
1990-10-01,1612.0
1991-01-01,1566.0
1991-04-01,1421.0
1991-07-01,1313.0
1991-10-01,1308.0
1992-01-01,1430.0
1992-04-01,1399.0
1992-07-01,1299.0
1992-10-01,1221.0
1993-01-01,1205.0
1993-04-01,1186.0
1993-07-01,1261.0
1993-10-01,1132.0
1994-01-01,1119.0
1994-04-01,1200.0
1994-07-01,1160.0
1994-10-01,1156.0
1995-01-01,1124.0
1995-04-01,1137.0
1995-07-01,1098.0
1995-10-01,1073.0
1996-01-01,1080.0
1996-04-01,1218.0
1996-07-01,1201.0
1996-10-01,1233.0
1997-01-01,1046.0
1997-04-01,1139.0
1997-07-01,1152.0
1997-10-01,1260.0
1998-01-01,1178.0
1998-04-01,1171.0
1998-07-01,1255.0
1998-10-01,1221.0
1999-01-01,1205.0
1999-04-01,1138.0
1999-07-01,1102.0
1999-10-01,1207.0
2000-01-01,1466.0
2000-04-01,1517.0
2000-07-01,1561.0
2000-10-01,1604.0
2001-01-01,1651.0
2001-04-01,1683.0
2001-07-01,1544.0
2001-10-01,1450.0
2002-01-01,1570.0
2002-04-01,1366.0
2002-07-01,1354.0
2002-10-01,1431.0
2003-01-01,1487.0
2003-04-01,1394.0
2003-07-01,1407.0
2003-10-01,1461.0
2004-01-01,1450.0
2004-04-01,1467.0
2004-07-01,1451.0
2004-10-01,1542.0
2005-01-01,1581.0
2005-04-01,1546.0
2005-07-01,1485.0
2005-10-01,1626.0
2006-01-01,1540.0
2006-04-01,1522.0
2006-07-01,1451.0
2006-10-01,1470.0
2007-01-01,1611.0
2007-04-01,1824.0
2007-07-01,2061.0
2007-10-01,1967.0
2008-01-01,2328.0
2008-04-01,3021.0
2008-07-01,3101.0
2008-10-01,2629.0
2009-01-01,2707.0
2009-04-01,2443.0
2009-07-01,2226.0
2009-10-01,2149.0
2010-01-01,2484.0
2010-04-01,2541.0
2010-07-01,2451.0
2010-10-01,2516.0
2011-01-01,2794.0
2011-04-01,2581.0
2011-07-01,2496.0
2011-10-01,2671.0
2012-01-01,2607.0
2012-04-01,2616.0
2012-07-01,2557.0
2012-10-01,2652.0
2013-01-01,2740.0
2013-04-01,2886.0
2013-07-01,3053.0
2013-10-01,3098.0
2014-01-01,3105.0
2014-04-01,3304.0
2014-07-01,3489.0
2014-10-01,3321.0
2015-01-01,3474.0
2015-04-01,3533.0
2015-07-01,3544.0
2015-10-01,3494.0
2016-01-01,3479.0
2016-04-01,3248.0
2016-07-01,3206.0
2016-10-01,3421.0
2017-01-01,3414.0
2017-04-01,3369.0
2017-07-01,3199.0
2017-10-01,3187.0
2018-01-01,2989.0
2018-04-01,3007.0
2018-07-01,2808.0
2018-10-01,2867.0
2019-01-01,2849.0
2019-04-01,2962.0
2019-07-01,2831.0
2019-10-01,2730.0
2020-01-01,2632.0
2020-04-01,2356.0
2020-07-01,3028.0
2020-10-01,2696.0
2021-01-01,3115.0
2021-04-01,3032.0
2021-07-01,2647.0
2021-10-01,2583.0
2022-01-01,2643.0
2022-04-01,2749.0
2022-07-01,2446.0
2022-10-01,2377.0
2023-01-01,2276.0
2023-04-01,2487.0
2023-07-01,2423.0
2023-10-01,2368.0
2024-01-01,2253.0
2024-04-01,2283.0
2024-07-01,2446.0
2024-10-01,2339.0
