,KSKPA3BRR
1992-01-01,-93.0
1993-01-01,0.6
1994-01-01,2.1
1995-01-01,2.9
1996-01-01,5.1
1997-01-01,2.2
1998-01-01,5.4
1999-01-01,2.6
2000-01-01,2.5
2001-01-01,3.5
2002-01-01,2.6
2003-01-01,4.3
2004-01-01,-93.0
2005-01-01,0.5
2006-01-01,4.7
2007-01-01,13.0
2008-01-01,18.4
2009-01-01,9.1
2010-01-01,3.0
2011-01-01,5.6
2012-01-01,4.4
2013-01-01,4.0
2014-01-01,5.4
2015-01-01,-93.0
2016-01-01,-93.0
2017-01-01,-93.0
2018-01-01,1.0
2019-01-01,1.7
2020-01-01,2.1
2021-01-01,0.9
2022-01-01,5.2
2023-01-01,7.8
2024-01-01,8.4
