,KSKSALUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,604.0
1988-04-01,686.0
1988-07-01,689.0
1988-10-01,655.0
1989-01-01,642.0
1989-04-01,667.0
1989-07-01,588.0
1989-10-01,644.0
1990-01-01,623.0
1990-04-01,528.0
1990-07-01,572.0
1990-10-01,557.0
1991-01-01,587.0
1991-04-01,611.0
1991-07-01,630.0
1991-10-01,605.0
1992-01-01,785.0
1992-04-01,690.0
1992-07-01,710.0
1992-10-01,643.0
1993-01-01,642.0
1993-04-01,684.0
1993-07-01,700.0
1993-10-01,724.0
1994-01-01,701.0
1994-04-01,676.0
1994-07-01,680.0
1994-10-01,697.0
1995-01-01,641.0
1995-04-01,721.0
1995-07-01,769.0
1995-10-01,683.0
1996-01-01,822.0
1996-04-01,811.0
1996-07-01,839.0
1996-10-01,887.0
1997-01-01,812.0
1997-04-01,740.0
1997-07-01,807.0
1997-10-01,796.0
1998-01-01,769.0
1998-04-01,730.0
1998-07-01,752.0
1998-10-01,760.0
1999-01-01,734.0
1999-04-01,815.0
1999-07-01,733.0
1999-10-01,756.0
2000-01-01,806.0
2000-04-01,781.0
2000-07-01,839.0
2000-10-01,815.0
2001-01-01,821.0
2001-04-01,816.0
2001-07-01,855.0
2001-10-01,990.0
2002-01-01,928.0
2002-04-01,910.0
2002-07-01,834.0
2002-10-01,842.0
2003-01-01,876.0
2003-04-01,794.0
2003-07-01,880.0
2003-10-01,901.0
2004-01-01,921.0
2004-04-01,885.0
2004-07-01,922.0
2004-10-01,896.0
2005-01-01,862.0
2005-04-01,1031.0
2005-07-01,1021.0
2005-10-01,1057.0
2006-01-01,929.0
2006-04-01,1010.0
2006-07-01,1137.0
2006-10-01,1184.0
2007-01-01,1367.0
2007-04-01,1517.0
2007-07-01,1343.0
2007-10-01,1404.0
2008-01-01,1467.0
2008-04-01,1138.0
2008-07-01,975.0
2008-10-01,991.0
2009-01-01,972.0
2009-04-01,1218.0
2009-07-01,1517.0
2009-10-01,1438.0
2010-01-01,1106.0
2010-04-01,1203.0
2010-07-01,1187.0
2010-10-01,1315.0
2011-01-01,1296.0
2011-04-01,1289.0
2011-07-01,1459.0
2011-10-01,1462.0
2012-01-01,1442.0
2012-04-01,1447.0
2012-07-01,1431.0
2012-10-01,1398.0
2013-01-01,1426.0
2013-04-01,1463.0
2013-07-01,1489.0
2013-10-01,1519.0
2014-01-01,1600.0
2014-04-01,1663.0
2014-07-01,1613.0
2014-10-01,1475.0
2015-01-01,1369.0
2015-04-01,1419.0
2015-07-01,1344.0
2015-10-01,1349.0
2016-01-01,1237.0
2016-04-01,1244.0
2016-07-01,1325.0
2016-10-01,1270.0
2017-01-01,1245.0
2017-04-01,1204.0
2017-07-01,1143.0
2017-10-01,1296.0
2018-01-01,1173.0
2018-04-01,1107.0
2018-07-01,1202.0
2018-10-01,1159.0
2019-01-01,1184.0
2019-04-01,1223.0
2019-07-01,1183.0
2019-10-01,1257.0
2020-01-01,1248.0
2020-04-01,1120.0
2020-07-01,1835.0
2020-10-01,1757.0
2021-01-01,1963.0
2021-04-01,1907.0
2021-07-01,1688.0
2021-10-01,1878.0
2022-01-01,1760.0
2022-04-01,1689.0
2022-07-01,1496.0
2022-10-01,1412.0
2023-01-01,1411.0
2023-04-01,1579.0
2023-07-01,1730.0
2023-10-01,1565.0
2024-01-01,1583.0
2024-04-01,1695.0
2024-07-01,1655.0
2024-10-01,1792.0
