,KSKSMMURA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,0.0
1990-04-01,0.34
1990-07-01,0.176
1990-10-01,0.056
1991-01-01,0.008
1991-04-01,0.04
1991-07-01,0.268
1991-10-01,0.008
1992-01-01,0.088
1992-04-01,0.048
1992-07-01,0.42
1992-10-01,0.052
1993-01-01,0.324
1993-04-01,0.64
1993-07-01,0.108
1993-10-01,0.064
1994-01-01,0.088
1994-04-01,0.34
1994-07-01,0.128
1994-10-01,0.692
1995-01-01,0.072
1995-04-01,0.308
1995-07-01,0.308
1995-10-01,0.184
1996-01-01,0.304
1996-04-01,0.86
1996-07-01,0.86
1996-10-01,0.268
1997-01-01,0.132
1997-04-01,0.736
1997-07-01,0.532
1997-10-01,0.512
1998-01-01,0.24
1998-04-01,0.676
1998-07-01,0.556
1998-10-01,0.308
1999-01-01,0.332
1999-04-01,0.276
1999-07-01,1.352
1999-10-01,0.236
2000-01-01,0.22
2000-04-01,0.32
2000-07-01,0.588
2000-10-01,0.336
2001-01-01,0.136
2001-04-01,0.24
2001-07-01,0.744
2001-10-01,0.312
2002-01-01,0.432
2002-04-01,0.404
2002-07-01,1.264
2002-10-01,1.092
2003-01-01,0.452
2003-04-01,1.364
2003-07-01,0.984
2003-10-01,0.316
2004-01-01,0.368
2004-04-01,1.64
2004-07-01,0.112
2004-10-01,1.18
2005-01-01,0.316
2005-04-01,0.492
2005-07-01,0.292
2005-10-01,0.144
2006-01-01,0.404
2006-04-01,0.696
2006-07-01,0.556
2006-10-01,0.492
2007-01-01,0.38
2007-04-01,1.416
2007-07-01,1.144
2007-10-01,0.64
2008-01-01,1.224
2008-04-01,1.792
2008-07-01,1.06
2008-10-01,0.048
2009-01-01,0.048
2009-04-01,0.164
2009-07-01,0.144
2009-10-01,0.952
2010-01-01,0.34
2010-04-01,0.316
2010-07-01,1.176
2010-10-01,1.14
2011-01-01,1.432
2011-04-01,1.544
2011-07-01,0.992
2011-10-01,1.576
2012-01-01,1.044
2012-04-01,1.356
2012-07-01,1.86
2012-10-01,2.652
2013-01-01,0.724
2013-04-01,0.76
2013-07-01,2.844
2013-10-01,0.96
2014-01-01,1.524
2014-04-01,2.4
2014-07-01,1.908
2014-10-01,1.984
2015-01-01,1.616
2015-04-01,1.048
2015-07-01,0.864
2015-10-01,1.644
2016-01-01,0.66
2016-04-01,1.072
2016-07-01,1.004
2016-10-01,0.532
2017-01-01,0.496
2017-04-01,0.456
2017-07-01,0.736
2017-10-01,1.444
2018-01-01,0.4
2018-04-01,0.808
2018-07-01,0.856
2018-10-01,1.328
2019-01-01,0.224
2019-04-01,0.684
2019-07-01,1.168
2019-10-01,0.66
2020-01-01,0.812
2020-04-01,0.824
2020-07-01,2.232
2020-10-01,0.672
2021-01-01,2.008
2021-04-01,2.144
2021-07-01,1.852
2021-10-01,0.696
2022-01-01,0.732
2022-04-01,3.308
2022-07-01,1.564
2022-10-01,1.38
2023-01-01,1.368
2023-04-01,1.876
2023-07-01,2.34
2023-10-01,1.864
2024-01-01,0.888
2024-04-01,0.832
2024-07-01,3.192
2024-10-01,1.804
