,KSKUA31UR
1992-01-01,6711.0
1993-01-01,6692.0
1994-01-01,6735.0
1995-01-01,6706.0
1996-01-01,6738.0
1997-01-01,6596.0
1998-01-01,6494.0
1999-01-01,6323.0
2000-01-01,6251.0
2001-01-01,6210.0
2002-01-01,6056.0
2003-01-01,5951.0
2004-01-01,5979.0
2005-01-01,5818.0
2006-01-01,5720.0
2007-01-01,5346.0
2008-01-01,5092.0
2009-01-01,5023.0
2010-01-01,4970.0
2011-01-01,4955.0
2012-01-01,4966.0
2013-01-01,4956.0
2014-01-01,4964.0
2015-01-01,5085.0
2016-01-01,5095.0
2017-01-01,5136.0
2018-01-01,5177.0
2019-01-01,5188.0
2020-01-01,5325.0
2021-01-01,5506.0
2022-01-01,5601.0
2023-01-01,5979.0
2024-01-01,6048.0
