,KSKVA33RR
1992-01-01,3.0
1993-01-01,1.5
1994-01-01,2.1
1995-01-01,1.8
1996-01-01,0.9
1997-01-01,0.9
1998-01-01,1.9
1999-01-01,1.1
2000-01-01,1.8
2001-01-01,5.7
2002-01-01,4.6
2003-01-01,5.0
2004-01-01,9.2
2005-01-01,8.1
2006-01-01,3.6
2007-01-01,0.5
2008-01-01,1.7
2009-01-01,1.3
2010-01-01,3.5
2011-01-01,1.1
2012-01-01,2.4
2013-01-01,1.7
2014-01-01,3.5
2015-01-01,5.0
2016-01-01,8.1
2017-01-01,8.4
2018-01-01,8.2
2019-01-01,6.2
2020-01-01,3.9
2021-01-01,3.0
2022-01-01,1.6
2023-01-01,1.6
2024-01-01,1.6
