,single_starts_saar
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,10.407
1990-04-01,5.585
1990-07-01,4.017
1990-10-01,3.376
1991-01-01,3.454
1991-04-01,3.955
1991-07-01,4.886
1991-10-01,4.217
1992-01-01,6.005
1992-04-01,6.198
1992-07-01,5.805
1992-10-01,5.854
1993-01-01,5.061
1993-04-01,4.74
1993-07-01,5.23
1993-10-01,5.91
1994-01-01,5.833
1994-04-01,5.866
1994-07-01,4.88
1994-10-01,4.149
1995-01-01,4.201
1995-04-01,3.954
1995-07-01,4.765
1995-10-01,4.668
1996-01-01,4.451
1996-04-01,5.986
1996-07-01,6.678
1996-10-01,5.979
1997-01-01,9.556
1997-04-01,7.932
1997-07-01,8.148
1997-10-01,9.387
1998-01-01,10.488
1998-04-01,9.71
1998-07-01,9.075
1998-10-01,7.787
1999-01-01,6.018
1999-04-01,6.481
1999-07-01,6.886
1999-10-01,7.007
2000-01-01,7.141
2000-04-01,6.822
2000-07-01,6.535
2000-10-01,6.612
2001-01-01,6.743
2001-04-01,7.288
2001-07-01,8.258
2001-10-01,7.846
2002-01-01,8.617
2002-04-01,9.946
2002-07-01,9.55
2002-10-01,9.369
2003-01-01,9.178
2003-04-01,8.506
2003-07-01,8.228
2003-10-01,8.302
2004-01-01,8.367
2004-04-01,7.944
2004-07-01,8.223
2004-10-01,8.45
2005-01-01,8.215
2005-04-01,8.553
2005-07-01,8.775
2005-10-01,9.264
2006-01-01,11.517
2006-04-01,11.191
2006-07-01,10.188
2006-10-01,9.041
2007-01-01,7.978
2007-04-01,7.939
2007-07-01,8.225
2007-10-01,6.903
2008-01-01,4.97
2008-04-01,4.587
2008-07-01,3.976
2008-10-01,4.108
2009-01-01,2.598
2009-04-01,3.595
2009-07-01,5.791
2009-10-01,6.968
2010-01-01,7.056
2010-04-01,6.562
2010-07-01,5.207
2010-10-01,4.397
2011-01-01,4.493
2011-04-01,4.971
2011-07-01,5.271
2011-10-01,5.57
2012-01-01,5.753
2012-04-01,5.72
2012-07-01,6.129
2012-10-01,6.245
2013-01-01,6.458
2013-04-01,6.139
2013-07-01,6.498
2013-10-01,6.52
2014-01-01,6.499
2014-04-01,7.199
2014-07-01,6.436
2014-10-01,5.772
2015-01-01,5.569
2015-04-01,3.78
2015-07-01,3.41
2015-10-01,4.047
2016-01-01,3.126
2016-04-01,3.096
2016-07-01,3.765
2016-10-01,3.866
2017-01-01,3.838
2017-04-01,4.634
2017-07-01,4.721
2017-10-01,4.508
2018-01-01,4.406
2018-04-01,4.195
2018-07-01,3.575
2018-10-01,3.104
2019-01-01,3.136
2019-04-01,3.248
2019-07-01,3.769
2019-10-01,3.919
2020-01-01,4.396
2020-04-01,2.716
2020-07-01,2.912
2020-10-01,4.111
2021-01-01,4.798
2021-04-01,5.893
2021-07-01,5.823
2021-10-01,5.383
