,snl_sa
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,46.01
1988-04-01,76.64
1988-07-01,65.26
1988-10-01,55.91
1989-01-01,68.77
1989-04-01,61.27
1989-07-01,70.72
1989-10-01,79.31
1990-01-01,57.92
1990-04-01,35.53
1990-07-01,47.79
1990-10-01,39.0
1991-01-01,50.41
1991-04-01,54.28
1991-07-01,45.41
1991-10-01,40.6
1992-01-01,51.13
1992-04-01,52.41
1992-07-01,50.8
1992-10-01,51.18
1993-01-01,39.42
1993-04-01,55.99
1993-07-01,54.16
1993-10-01,49.49
1994-01-01,49.85
1994-04-01,55.35
1994-07-01,49.09
1994-10-01,48.71
1995-01-01,42.28
1995-04-01,48.36
1995-07-01,52.56
1995-10-01,48.1
1996-01-01,55.64
1996-04-01,60.83
1996-07-01,63.67
1996-10-01,74.47
1997-01-01,76.91
1997-04-01,74.04
1997-07-01,89.47
1997-10-01,85.9
1998-01-01,76.53
1998-04-01,75.98
1998-07-01,61.53
1998-10-01,63.91
1999-01-01,64.85
1999-04-01,66.89
1999-07-01,69.67
1999-10-01,67.41
2000-01-01,63.35
2000-04-01,61.6
2000-07-01,62.07
2000-10-01,58.63
2001-01-01,59.94
2001-04-01,68.79
2001-07-01,73.96
2001-10-01,73.31
2002-01-01,83.61
2002-04-01,72.43
2002-07-01,72.55
2002-10-01,64.08
2003-01-01,63.29
2003-04-01,61.35
2003-07-01,63.55
2003-10-01,60.01
2004-01-01,58.95
2004-04-01,63.3
2004-07-01,68.2
2004-10-01,67.33
2005-01-01,64.6
2005-04-01,75.39
2005-07-01,89.8
2005-10-01,89.79
2006-01-01,92.74
2006-04-01,82.01
2006-07-01,57.53
2006-10-01,68.94
2007-01-01,81.35
2007-04-01,56.96
2007-07-01,50.01
2007-10-01,51.46
2008-01-01,40.61
2008-04-01,38.29
2008-07-01,48.64
2008-10-01,34.83
2009-01-01,38.59
2009-04-01,65.74
2009-07-01,68.77
2009-10-01,61.59
2010-01-01,47.13
2010-04-01,39.09
2010-07-01,43.72
2010-10-01,48.5
2011-01-01,49.57
2011-04-01,49.18
2011-07-01,48.04
2011-10-01,54.02
2012-01-01,57.1
2012-04-01,61.8
2012-07-01,63.61
2012-10-01,64.68
2013-01-01,65.98
2013-04-01,65.17
2013-07-01,71.51
2013-10-01,70.92
2014-01-01,76.45
2014-04-01,63.92
2014-07-01,68.09
2014-10-01,66.91
2015-01-01,49.15
2015-04-01,66.95
2015-07-01,55.67
2015-10-01,48.92
2016-01-01,46.04
2016-04-01,58.05
2016-07-01,55.59
2016-10-01,56.57
2017-01-01,57.59
2017-04-01,53.45
2017-07-01,49.6
2017-10-01,54.04
2018-01-01,49.91
2018-04-01,40.67
2018-07-01,45.88
2018-10-01,47.32
2019-01-01,46.63
2019-04-01,56.75
2019-07-01,53.87
2019-10-01,49.95
2020-01-01,50.24
2020-04-01,58.76
2020-07-01,59.49
2020-10-01,65.98
2021-01-01,71.17
2021-04-01,71.72
2021-07-01,74.22
2021-10-01,88.23
