,total_starts_saar
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,
1988-04-01,
1988-07-01,
1988-10-01,
1989-01-01,
1989-04-01,
1989-07-01,
1989-10-01,
1990-01-01,11.572
1990-04-01,7.446
1990-07-01,5.686
1990-10-01,4.549
1991-01-01,3.816
1991-04-01,4.599
1991-07-01,5.408
1991-10-01,4.953
1992-01-01,6.895
1992-04-01,7.484
1992-07-01,6.826
1992-10-01,6.812
1993-01-01,6.787
1993-04-01,6.14
1993-07-01,6.592
1993-10-01,7.249
1994-01-01,6.492
1994-04-01,6.871
1994-07-01,7.516
1994-10-01,6.448
1995-01-01,5.022
1995-04-01,4.97
1995-07-01,6.729
1995-10-01,6.07
1996-01-01,5.548
1996-04-01,6.967
1996-07-01,7.977
1996-10-01,7.447
1997-01-01,12.247
1997-04-01,10.231
1997-07-01,10.349
1997-10-01,12.326
1998-01-01,14.044
1998-04-01,12.616
1998-07-01,11.693
1998-10-01,11.973
1999-01-01,10.982
1999-04-01,9.903
1999-07-01,10.565
1999-10-01,11.102
2000-01-01,10.566
2000-04-01,11.122
2000-07-01,10.403
2000-10-01,12.137
2001-01-01,9.679
2001-04-01,11.595
2001-07-01,11.098
2001-10-01,12.913
2002-01-01,12.997
2002-04-01,14.843
2002-07-01,14.511
2002-10-01,14.766
2003-01-01,16.985
2003-04-01,13.504
2003-07-01,11.954
2003-10-01,12.448
2004-01-01,14.497
2004-04-01,13.959
2004-07-01,12.741
2004-10-01,14.937
2005-01-01,13.032
2005-04-01,12.807
2005-07-01,15.094
2005-10-01,13.695
2006-01-01,17.203
2006-04-01,19.41
2006-07-01,15.043
2006-10-01,16.558
2007-01-01,12.47
2007-04-01,15.207
2007-07-01,14.966
2007-10-01,11.227
2008-01-01,19.525
2008-04-01,12.058
2008-07-01,7.738
2008-10-01,6.554
2009-01-01,3.414
2009-04-01,4.501
2009-07-01,7.809
2009-10-01,9.332
2010-01-01,9.793
2010-04-01,9.018
2010-07-01,10.677
2010-10-01,7.717
2011-01-01,6.954
2011-04-01,7.294
2011-07-01,10.18
2011-10-01,12.657
2012-01-01,13.788
2012-04-01,14.602
2012-07-01,11.087
2012-10-01,11.807
2013-01-01,11.15
2013-04-01,11.504
2013-07-01,12.392
2013-10-01,15.34
2014-01-01,18.331
2014-04-01,19.543
2014-07-01,17.181
2014-10-01,13.367
2015-01-01,14.162
2015-04-01,13.321
2015-07-01,12.174
2015-10-01,12.824
2016-01-01,7.102
2016-04-01,8.794
2016-07-01,11.537
2016-10-01,9.344
2017-01-01,9.462
2017-04-01,13.184
2017-07-01,11.965
2017-10-01,12.582
2018-01-01,9.394
2018-04-01,15.307
2018-07-01,11.205
2018-10-01,8.149
2019-01-01,8.131
2019-04-01,11.089
2019-07-01,12.957
2019-10-01,15.329
2020-01-01,9.95
2020-04-01,6.609
2020-07-01,10.005
2020-10-01,10.744
2021-01-01,12.346
2021-04-01,15.647
2021-07-01,14.034
2021-10-01,18.047
2022-01-01,12.82
