,MWIPA31RR
1992-01-01,2.5
1993-01-01,0.4
1994-01-01,0.9
1995-01-01,0.6
1996-01-01,-93.0
1997-01-01,1.0
1998-01-01,1.9
1999-01-01,1.2
2000-01-01,3.4
2001-01-01,2.5
2002-01-01,2.8
2003-01-01,4.4
2004-01-01,2.2
2005-01-01,3.1
2006-01-01,3.0
2007-01-01,4.2
2008-01-01,3.9
2009-01-01,3.9
2010-01-01,3.8
2011-01-01,4.3
2012-01-01,3.4
2013-01-01,5.2
2014-01-01,3.5
2015-01-01,3.9
2016-01-01,1.9
2017-01-01,4.1
2018-01-01,4.3
2019-01-01,3.5
2020-01-01,3.0
2021-01-01,2.7
2022-01-01,1.9
2023-01-01,4.3
2024-01-01,5.0
