,MWIPA3BRR
1992-01-01,2.7
1993-01-01,-93.0
1994-01-01,-93.0
1995-01-01,-93.0
1996-01-01,-93.0
1997-01-01,-99.0
1998-01-01,2.5
1999-01-01,-93.0
2000-01-01,-93.0
2001-01-01,4.2
2002-01-01,3.7
2003-01-01,4.8
2004-01-01,4.1
2005-01-01,2.7
2006-01-01,3.6
2007-01-01,4.6
2008-01-01,4.0
2009-01-01,4.6
2010-01-01,3.4
2011-01-01,4.4
2012-01-01,2.1
2013-01-01,6.4
2014-01-01,4.6
2015-01-01,4.1
2016-01-01,2.6
2017-01-01,3.8
2018-01-01,3.9
2019-01-01,4.5
2020-01-01,3.5
2021-01-01,3.2
2022-01-01,2.6
2023-01-01,3.1
2024-01-01,4.7
