,MWIRAT31CR
1992-01-01,436.0
1993-01-01,437.0
1994-01-01,442.0
1995-01-01,446.0
1996-01-01,441.0
1997-01-01,446.0
1998-01-01,453.0
1999-01-01,456.0
2000-01-01,473.0
2001-01-01,476.0
2002-01-01,490.0
2003-01-01,508.0
2004-01-01,519.0
2005-01-01,539.0
2006-01-01,557.0
2007-01-01,578.0
2008-01-01,602.0
2009-01-01,615.0
2010-01-01,649.0
2011-01-01,678.0
2012-01-01,704.0
2013-01-01,750.0
2014-01-01,782.0
2015-01-01,813.0
2016-01-01,836.0
2017-01-01,880.0
2018-01-01,920.0
2019-01-01,957.0
2020-01-01,991.0
2021-01-01,1030.0
2022-01-01,1056.0
2023-01-01,1102.0
2024-01-01,1179.0
