,MWISALUNA_Q
1980-01-01,
1980-04-01,
1980-07-01,
1980-10-01,
1981-01-01,
1981-04-01,
1981-07-01,
1981-10-01,
1982-01-01,
1982-04-01,
1982-07-01,
1982-10-01,
1983-01-01,
1983-04-01,
1983-07-01,
1983-10-01,
1984-01-01,
1984-04-01,
1984-07-01,
1984-10-01,
1985-01-01,
1985-04-01,
1985-07-01,
1985-10-01,
1986-01-01,
1986-04-01,
1986-07-01,
1986-10-01,
1987-01-01,
1987-04-01,
1987-07-01,
1987-10-01,
1988-01-01,2524.0
1988-04-01,2577.0
1988-07-01,2581.0
1988-10-01,2520.0
1989-01-01,2294.0
1989-04-01,2195.0
1989-07-01,2408.0
1989-10-01,2504.0
1990-01-01,2411.0
1990-04-01,2002.0
1990-07-01,1869.0
1990-10-01,2132.0
1991-01-01,2129.0
1991-04-01,2315.0
1991-07-01,2160.0
1991-10-01,1955.0
1992-01-01,2646.0
1992-04-01,2468.0
1992-07-01,2750.0
1992-10-01,2522.0
1993-01-01,2123.0
1993-04-01,2477.0
1993-07-01,2482.0
1993-10-01,2522.0
1994-01-01,2650.0
1994-04-01,2609.0
1994-07-01,2325.0
1994-10-01,2339.0
1995-01-01,2117.0
1995-04-01,2290.0
1995-07-01,2490.0
1995-10-01,1971.0
1996-01-01,2265.0
1996-04-01,2320.0
1996-07-01,2328.0
1996-10-01,2992.0
1997-01-01,2920.0
1997-04-01,2045.0
1997-07-01,2387.0
1997-10-01,2689.0
1998-01-01,2402.0
1998-04-01,2452.0
1998-07-01,2551.0
1998-10-01,2341.0
1999-01-01,2336.0
1999-04-01,2572.0
1999-07-01,2402.0
1999-10-01,2461.0
2000-01-01,2402.0
2000-04-01,2376.0
2000-07-01,2389.0
2000-10-01,2299.0
2001-01-01,2488.0
2001-04-01,2543.0
2001-07-01,2458.0
2001-10-01,2727.0
2002-01-01,2648.0
2002-04-01,2515.0
2002-07-01,2359.0
2002-10-01,2359.0
2003-01-01,2569.0
2003-04-01,2461.0
2003-07-01,2516.0
2003-10-01,2656.0
2004-01-01,2634.0
2004-04-01,2627.0
2004-07-01,2804.0
2004-10-01,2733.0
2005-01-01,2788.0
2005-04-01,2806.0
2005-07-01,2888.0
2005-10-01,2932.0
2006-01-01,2868.0
2006-04-01,2862.0
2006-07-01,2882.0
2006-10-01,2982.0
2007-01-01,3053.0
2007-04-01,3143.0
2007-07-01,3041.0
2007-10-01,3082.0
2008-01-01,2983.0
2008-04-01,3180.0
2008-07-01,3097.0
2008-10-01,2594.0
2009-01-01,2750.0
2009-04-01,2847.0
2009-07-01,2986.0
2009-10-01,2925.0
2010-01-01,2911.0
2010-04-01,2965.0
2010-07-01,2774.0
2010-10-01,2922.0
2011-01-01,3177.0
2011-04-01,2904.0
2011-07-01,3038.0
2011-10-01,3178.0
2012-01-01,3080.0
2012-04-01,3126.0
2012-07-01,2898.0
2012-10-01,2990.0
2013-01-01,2888.0
2013-04-01,2982.0
2013-07-01,3072.0
2013-10-01,3146.0
2014-01-01,2914.0
2014-04-01,3090.0
2014-07-01,3118.0
2014-10-01,3024.0
2015-01-01,3057.0
2015-04-01,2987.0
2015-07-01,3082.0
2015-10-01,3142.0
2016-01-01,3241.0
2016-04-01,3238.0
2016-07-01,3174.0
2016-10-01,3218.0
2017-01-01,3185.0
2017-04-01,3240.0
2017-07-01,3191.0
2017-10-01,3134.0
2018-01-01,2911.0
2018-04-01,3049.0
2018-07-01,3007.0
2018-10-01,3010.0
2019-01-01,3075.0
2019-04-01,3152.0
2019-07-01,3312.0
2019-10-01,3286.0
2020-01-01,3296.0
2020-04-01,2685.0
2020-07-01,4266.0
2020-10-01,4169.0
2021-01-01,4863.0
2021-04-01,4055.0
2021-07-01,3784.0
2021-10-01,4250.0
2022-01-01,3707.0
2022-04-01,3589.0
2022-07-01,3301.0
2022-10-01,2996.0
2023-01-01,2807.0
2023-04-01,3014.0
2023-07-01,3185.0
2023-10-01,3002.0
2024-01-01,3243.0
2024-04-01,3311.0
2024-07-01,3393.0
2024-10-01,3539.0
