,MWIUA31UR
1992-01-01,29483.0
1993-01-01,29278.0
1994-01-01,29307.0
1995-01-01,29044.0
1996-01-01,28873.0
1997-01-01,28599.0
1998-01-01,28415.0
1999-01-01,28354.0
2000-01-01,28370.0
2001-01-01,28132.0
2002-01-01,28065.0
2003-01-01,28212.0
2004-01-01,27839.0
2005-01-01,27362.0
2006-01-01,27382.0
2007-01-01,26990.0
2008-01-01,26865.0
2009-01-01,27041.0
2010-01-01,26644.0
2011-01-01,26337.0
2012-01-01,26401.0
2013-01-01,26149.0
2014-01-01,26776.0
2015-01-01,27092.0
2016-01-01,27073.0
2017-01-01,27710.0
2018-01-01,28502.0
2019-01-01,29010.0
2020-01-01,29798.0
2021-01-01,30634.0
2022-01-01,31565.0
2023-01-01,31863.0
2024-01-01,33715.0
