Year,Region,Sex,Age,Pop
2001,Alberta,1,Total,1545534
2001,Alberta,1,0,19092
2001,Alberta,1,1,19452
2001,Alberta,1,2,19827
2001,Alberta,1,3,19636
2001,Alberta,1,4,20366
2001,Alberta,1,5,21144
2001,Alberta,1,6,21452
2001,Alberta,1,7,21640
2001,Alberta,1,8,21845
2001,Alberta,1,9,22583
2001,Alberta,1,10,22904
2001,Alberta,1,11,23683
2001,Alberta,1,12,23153
2001,Alberta,1,13,22591
2001,Alberta,1,14,22986
2001,Alberta,1,15,23525
2001,Alberta,1,16,23563
2001,Alberta,1,17,23448
2001,Alberta,1,18,23468
2001,Alberta,1,19,23342
2001,Alberta,1,20,23665
2001,Alberta,1,21,23772
2001,Alberta,1,22,23830
2001,Alberta,1,23,23756
2001,Alberta,1,24,23977
2001,Alberta,1,25,24193
2001,Alberta,1,26,23984
2001,Alberta,1,27,23177
2001,Alberta,1,28,23239
2001,Alberta,1,29,23683
2001,Alberta,1,30,24787
2001,Alberta,1,31,24180
2001,Alberta,1,32,23294
2001,Alberta,1,33,23344
2001,Alberta,1,34,23343
2001,Alberta,1,35,24216
2001,Alberta,1,36,25954
2001,Alberta,1,37,27361
2001,Alberta,1,38,27910
2001,Alberta,1,39,27824
2001,Alberta,1,40,28319
2001,Alberta,1,41,28335
2001,Alberta,1,42,27898
2001,Alberta,1,43,27502
2001,Alberta,1,44,27054
2001,Alberta,1,45,26135
2001,Alberta,1,46,25589
2001,Alberta,1,47,24295
2001,Alberta,1,48,22846
2001,Alberta,1,49,21318
2001,Alberta,1,50,20371
2001,Alberta,1,51,19870
2001,Alberta,1,52,18913
2001,Alberta,1,53,18992
2001,Alberta,1,54,18508
2001,Alberta,1,55,15356
2001,Alberta,1,56,14374
2001,Alberta,1,57,13903
2001,Alberta,1,58,13436
2001,Alberta,1,59,12310
2001,Alberta,1,60,11774
2001,Alberta,1,61,11032
2001,Alberta,1,62,10552
2001,Alberta,1,63,10174
2001,Alberta,1,64,9764
2001,Alberta,1,65,9702
2001,Alberta,1,66,9446
2001,Alberta,1,67,9128
2001,Alberta,1,68,9003
