year,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland,Nova Scotia,Ontario,PEI,Quebec,Saskatchewan
1971,476505.712987,684657.95852,6150783.239478,291610.23463,159807.57301,112688.01715300001,209818.63624300002,2268878.174819,28141.57891,1636394.256361,269447.159899
1972,488559.134477,708970.100923,6289306.426599001,295075.688741,163104.578538,115500.38148,213106.610982,2323943.59506,28560.614438,1670449.449089,268781.539042
1973,502017.225075,735403.9923810001,6434737.11766,299337.03684300004,166898.872252,118068.95381,217786.48597100002,2378581.363661,29140.305742,1705368.710336,268695.12100600003
1974,515576.179689,765814.865706,6595118.033138,304957.548657,170867.475746,120304.417252,221726.17211,2438695.737087,29780.374313,1744819.2080330001,269908.281727
1975,536717.464619,791430.302916,6759996.811147,309716.993795,175747.313734,123436.564359,225935.613909,2494208.581932,30491.531408,1785213.4762010002,274668.516818
1976,586064.952863,850545.1266440001,7311204.426750001,331525.508853,194077.714153,133094.276052,245206.618384,2682201.743487,33076.530663000005,1943427.858591,294553.032016
1977,616150.243388,872428.585327,7483593.925784,336760.146902,198576.907638,136001.174823,249826.59315300002,2741383.2917730003,33824.904727,1981797.3695280002,300912.883693
1978,645731.141392,897549.139332,7647589.560105001,341337.83966,202615.862098,138899.70324200002,254474.52949500002,2800584.554381,34684.473280000006,2010898.8492800002,306116.133929
1979,676108.154788,924907.148643,7815912.18484,344052.051598,206662.508638,141955.942021,259106.20151400001,2857527.792094,35397.897410000005,2045533.8965750001,311373.211954
1980,713186.279673,962517.9627370001,8007678.223089,346835.29778,210548.288651,145235.676016,263514.63213000004,2918202.967995,36077.456263,2083719.74973,316636.071335
1981,777245.3786040001,1024907.605556,8439437.859917,361292.164374,218092.417437,150600.671805,275646.451266,3029894.8695690003,38000.040711,2208821.861604,335485.501424
1982,812077.362598,1053348.585855,8635348.336497,367668.175827,221761.228077,152946.603728,280540.738706,3098812.118331,38500.310787,2248896.661431,341716.998122
1983,829167.057185,1076023.00399,8817999.554443,375625.713586,227009.308247,156666.460891,286790.777593,3171721.188467,39393.867773000005,2286023.311674,349098.52994
1984,837871.257472,1100728.410615,8998398.633765,382883.276455,231943.682728,159453.056266,293020.86759,3248396.987004,40283.505581000005,2324883.723657,356319.075865
1985,849512.425528,1121183.164823,9175837.315904,389864.240084,236070.94627900003,161970.320243,299192.123455,3324225.89873,41008.62668,2365831.201683,362355.019754
1986,859413.805944,1131740.63725,9260835.72512,391793.834978,237100.447316,161372.886171,300888.950071,3328866.668527,41344.265938,2420824.695834,364907.804802
1987,869291.7330390001,1156762.993714,9469483.216463,396597.545134,241142.745257,163954.89624,305828.019747,3426409.873714,41813.138487000004,2473780.266337,368694.58191300003
1988,881375.0042150001,1188573.913507,9671319.167749,400279.431738,245063.347776,166675.410738,310333.591616,3520922.608845,42406.257631,2518307.656597,369991.957462
1989,901077.793661,1226095.5973490002,9916347.394867001,403061.78373,249333.861778,169834.773677,315524.079313,3637780.141291,43008.192997,2571617.862685,369422.680899
