year,age_group,Alberta,British Columbia,Canada,Manitoba,New Brunswick,Newfoundland,Nova Scotia,Ontario,PEI,Quebec,Saskatchewan
1971,4,153696,178623,1836149,85997,58260,62136,70097,644197,10054,485861,79496
1971,509,182333,214726,2267794,100399,71776,68192,85418,788128,12597,637478,98948
1971,1014,184165,225217,2329323,101678,74183,65658,86297,794371,12885,676275,102426
1971,1519,165751,208255,2164092,97573,70684,60591,81157,732381,11670,635037,96393
1971,2024,150387,196946,1976914,88175,58314,46505,70470,707309,9452,573174,70537
1971,2529,124117,167850,1643264,68724,41968,36171,53790,590134,6550,494415,54065
1971,3034,103317,138019,1342744,55802,33915,28221,43848,492200,5791,389580,47839
1971,3539,100402,130424,1286302,53145,32093,25863,41943,477095,5594,367837,48605
1971,4044,97058,131702,1284154,53970,31759,24403,40334,481749,5245,364186,50967
1971,4549,89387,131020,1252545,56725,32896,23261,41730,474746,5345,342953,52223
1971,5054,75742,115989,1065664,51368,30249,22125,40532,386176,5303,286573,49888
1971,5559,66203,108144,964984,49068,28006,19952,37770,346978,5263,255439,46836
1971,6064,52706,85906,785693,40174,23307,15317,31059,283062,4438,210049,38685
1971,6569,42622,69216,626521,32576,18502,11369,24298,229891,3685,162565,31218
1971,7074,30573,51646,462065,24096,14364,8848,18688,173036,3164,114205,23091
1971,7500,47258,86787,673824,39406,22195,12242,29863,247574,5555,141678,40821
1972,4,151701,179887,1801915,85224,58068,61775,69014,638119,9959,463459,76633
1972,509,176556,209204,2187938,96013,69525,67943,82381,762785,12253,609937,93350
1972,1014,188031,230892,2349140,102156,74091,66115,87039,805445,13006,674511,101125
1972,1519,173630,217510,2221277,98301,71562,61131,82009,753965,11850,649998,96244
1972,2024,152080,202503,1989767,87675,59126,48276,70651,706207,9447,576735,71166
1972,2529,133508,182576,1751659,73011,45768,39158,57859,634160,7176,516756,55677
1972,3034,106689,146129,1393880,57171,35192,29246,45320,509834,5870,406702,47149
1972,3539,99997,131962,1277301,52119,31746,26078,41571,475914,5628,362092,46730
1972,4044,98004,133435,1289466,53475,32041,24382,40575,482961,5278,366883,49469
1972,4549,89627,131379,1251305,55529,32189,23204,40553,475962,5326,344480,50669
1972,5054,79282,121966,1112092,52611,31176,22730,41306,407995,5383,297685,50091
1972,5559,67168,110229,972171,48872,28171,19958,37882,348830,5180,257786,46708
1972,6064,54229,90519,813135,41579,24148,16183,32151,293387,4597,215761,39546
1972,6569,43921,72239,644955,33442,18941,11472,25016,235438,3706,168294,31864
1972,7074,31605,53830,474403,24690,14471,8937,18702,177534,3189,117544,23532
1972,7500,48062,87826,688059,39784,22554,12536,30226,254581,5612,145593,40827
1973,4,151064,181975,1788166,84986,58328,61704,68876,637119,9895,450829,75146
1973,509,169309,201988,2082997,91587,66529,66763,79214,728041,11639,572733,87185
1973,1014,191351,235939,2368189,102544,74452,66657,87987,816639,13218,671631,100584
1973,1519,180636,226509,2272006,99022,72518,61114,83436,773488,12041,662431,95270
1973,2024,157381,210923,2032693,88990,60610,49971,71903,717063,9556,587296,72735
1973,2529,141366,195290,1836307,76442,49152,41454,61899,666246,7909,533406,56770
1973,3034,111762,155922,1459832,59369,37042,30565,47591,532698,5988,426758,47161
1973,3539,99841,134673,1276761,51830,31848,26061,41821,476540,5691,359484,45308
1973,4044,99019,135761,1293059,53063,32108,24742,41098,483600,5400,367149,47996
1973,4549,90859,133008,1257700,54470,32014,23049,40374,477972,5235,348401,49799
1973,5054,82218,127568,1154402,54003,31717,22935,41439,430426,5434,306919,49752
1973,5559,67917,111126,974800,48424,28350,20033,38023,347875,5172,260058,46423
1973,6064,55619,95278,839901,42745,24845,16991,33323,303144,4736,221867,40282
1973,6569,45186,75761,663096,34148,19533,11674,25916,241114,3800,172840,32480
1973,7074,33104,56336,491321,25634,14860,9131,19048,183234,3233,122001,24337
1973,7500,48695,89214,700547,40101,22814,12717,30438,260348,5673,149346,40709
1974,4,150099,182890,1777695,85082,58504,60808,68179,634894,9808,445560,73920
1974,509,162627,198458,1991842,88230,63787,65418,75333,697912,11134,539144,82058
1974,1014,192614,239620,2373809,102665,74948,67039,88561,823902,13424,663898,99733
1974,1519,185607,234512,2314170,99767,72861,60947,84443,792042,12201,670974,95008
1974,2024,166202,223752,2105895,92525,62095,51301,73256,740174,9669,604809,75883
1974,2529,147847,207581,1916215,80004,52216,43299,64939,695740,8516,550863,58768
1974,3034,117366,168105,1535174,62227,39289,31790,49627,559189,6332,448360,47778
1974,3539,100140,139121,1294578,52495,32567,26379,42455,483377,5758,364418,44191
1974,4044,99443,137575,1293677,52616,32024,24790,41063,484544,5503,366081,46874
1974,4549,91709,134581,1258139,53505,31774,23111,39984,477052,5267,349946,48698
1974,5054,84852,133641,1195412,54917,31953,22570,41496,451264,5359,317613,49688
1974,5559,68210,111957,976014,48112,28587,19986,38005,347985,5159,260629,45981
1974,6064,57860,101485,870896,44124,25687,17932,34494,313236,4938,228774,41255
1974,6569,45779,79196,680893,34867,20131,12192,26658,247534,3912,177015,32952
1974,7074,34677,59148,508690,26529,15109,9240,19643,188945,3219,126635,25111
1974,7500,49589,90956,714870,40541,23212,12802,30615,266485,5763,153852,40559
1975,4,151891,181766,1771061,84364,59152,59671,67358,629165,9812,445609,74414
