,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-01-01,8559.043448661358,1819.8693675369684,4992.165031721213,12125.921865601502
2021-04-01,9643.981544050292,1819.8693675369684,6077.103127110147,13210.859960990436
2021-07-01,7167.2415463979705,1819.8693675369684,3600.363129457826,10734.119963338115
2021-10-01,11946.22698638527,1819.8693675369684,8379.348569445126,15513.105403325415
2022-01-01,6631.497250452497,1819.8693675369684,3064.618833512352,10198.375667392642
2022-04-01,12081.519103049235,1819.8693675369684,8514.64068610909,15648.39751998938
2022-07-01,13178.878305886548,1819.8693675369684,9611.999888946404,16745.756722826693
2022-10-01,12934.460822907662,1819.8693675369684,9367.582405967518,16501.339239847806
2023-01-01,12129.186197597257,1819.8693675369684,8562.307780657113,15696.064614537401
2023-04-01,11341.957755139443,1953.431593431034,7513.302185751927,15170.61332452696
2023-07-01,11220.538569092325,1972.9631027249113,7353.6019449251,15087.47519325955
2023-10-01,10170.630281314046,1975.918258219011,6297.90165880967,14043.358903818422
2024-01-01,10197.300281711156,1976.367552349449,6323.691058892656,14070.909504529656
2024-04-01,9714.78840382475,1976.4359117949537,5841.045198955058,13588.531608694442
2024-07-01,9586.457044973784,1976.4463137396983,5712.693452667023,13460.220637280545
2024-10-01,9728.758611411391,1976.4478965828819,5854.991916788997,13602.525306033785
2025-01-01,9590.277082298664,1976.448137441591,5716.509915601875,13464.044248995453
2025-04-01,9764.426093957818,1976.448174092689,5890.658855426197,13638.193332489438
2025-07-01,10327.359081910527,1976.4481796698303,6453.59183244791,14201.126331373143
2025-10-01,10677.553156802143,1976.4481805184953,6803.785905676174,14551.320407928113
