,_date_,snl_4q,snl_sa,sales,sales_sa,avg_price,avg_price_sa,nlist,nlist_sa,mls_hpi_comp,mls_hpi_apt,mls_hpi_sfd,mls_hpi_2sto,mls_hpi_1sto,mls_hpi_row,sales_newlist
1980Q1,1980-01-01,0.0,,2886.0,,88573.0,,4963.0,,,,,,,,0.5815031231110216
1980Q2,1980-04-01,0.0,,2590.0,,94050.0,,5462.0,,,,,,,,0.4741852801171732
1980Q3,1980-07-01,0.0,,3298.0,,96884.0,,5386.0,,,,,,,,0.6123282584478277
1980Q4,1980-10-01,58.75,,2825.0,,96039.0,,3933.0,,,,,,,,0.7182812102720569
1981Q1,1981-01-01,57.83,,3296.0,,104432.0,,5984.0,,,,,,,,0.5508021390374331
1981Q2,1981-04-01,60.36,,3690.0,,109237.0,,6416.0,,,,,,,,0.5751246882793017
1981Q3,1981-07-01,53.94,,2552.0,,111158.0,,6587.0,,,,,,,,0.387429785942007
1981Q4,1981-10-01,47.74,,2237.0,,106242.0,,5677.0,,,,,,,,0.3940461511361635
1982Q1,1982-01-01,41.1,,2258.0,,107564.0,,7441.0,,,,,,,,0.30345383684988575
1982Q2,1982-04-01,30.65,,1452.0,,109423.0,,8027.0,,,,,,,,0.1808894979444375
1982Q3,1982-07-01,25.91,,1427.0,,106495.0,,7315.0,,,,,,,,0.1950786056049214
1982Q4,1982-10-01,23.71,,1715.0,,101874.0,,6121.0,,,,,,,,0.2801829766378043
1983Q1,1983-01-01,22.11,,1753.0,,103625.0,,7246.0,,,,,,,,0.24192658018216948
1983Q2,1983-04-01,24.79,,1913.0,,101020.0,,6785.0,,,,,,,,0.2819454679439941
1983Q3,1983-07-01,28.01,,1890.0,,97332.0,,5807.0,,,,,,,,0.32546926123643877
1983Q4,1983-10-01,28.76,,1409.0,,91715.0,,4378.0,,,,,,,,0.32183645500228414
1984Q1,1984-01-01,33.5,,2457.0,,89421.0,,5923.0,,,,,,,,0.41482356913726154
1984Q2,1984-04-01,36.15,,2323.0,,90088.0,,6240.0,,,,,,,,0.37227564102564104
1984Q3,1984-07-01,37.61,,2211.0,,88172.0,,5793.0,,,,,,,,0.38166752977731744
1984Q4,1984-10-01,40.83,,2190.0,,78667.0,,4532.0,,,,,,,,0.48323036187113855
1985Q1,1985-01-01,44.38,,3212.0,,78728.0,,5823.0,,,,,,,,0.5516057015284218
1985Q2,1985-04-01,52.25,,4087.0,,81152.0,,6245.0,,,,,,,,0.6544435548438751
1985Q3,1985-07-01,58.83,,3744.0,,81252.0,,5893.0,,,,,,,,0.6353300526047854
1985Q4,1985-10-01,63.59,,3231.0,,80398.0,,4487.0,,,,,,,,0.7200802317806998
1986Q1,1986-01-01,57.66,,2969.0,,84411.0,,7707.0,,,,,,,,0.38523420267289477
1986Q2,1986-04-01,52.94,,3036.0,,89243.0,,6433.0,,,,,,,,0.47194155137571897
1986Q3,1986-07-01,49.8,,3016.0,,85954.0,,5974.0,,,,,,,,0.5048543689320388
1986Q4,1986-10-01,46.41,,2273.0,,86201.0,,4223.0,,,,,,,,0.5382429552450865
1987Q1,1987-01-01,52.4,,3643.0,,87752.0,,6211.0,,,,,,,,0.5865400096602802
1987Q2,1987-04-01,58.4,,4309.0,,94584.0,,6264.0,,,,,,,,0.6878991060025543
1987Q3,1987-07-01,60.31,,3699.0,,96135.0,,6390.0,,,,,,,,0.5788732394366197
1987Q4,1987-10-01,59.56,,2686.0,,93806.0,,5207.0,,,,,,,,0.515844056078356
1988Q1,1988-01-01,56.35,46.01,3282.0,2957.0,94856.0,93148.0,6942.0,6427.0,,,,,,,0.4727744165946413
1988Q2,1988-04-01,56.51,76.64,5245.0,5068.0,101090.0,99654.0,7850.0,6613.0,,,,,,,0.6681528662420382
1988Q3,1988-07-01,58.1,65.26,4210.0,4302.0,102450.0,104561.0,6547.0,6592.0,,,,,,,0.6430426149381396
1988Q4,1988-10-01,61.09,55.91,3191.0,3601.0,103696.0,103705.0,4734.0,6441.0,,,,,,,0.6740599915504858
1989Q1,1989-01-01,67.04,68.77,4482.0,3993.0,107011.0,103889.0,6418.0,5806.0,,,,,,,0.6983483951386725
1989Q2,1989-04-01,62.89,61.27,4546.0,4311.0,112377.0,109658.0,8426.0,7036.0,,,,,,,0.5395205316876335
1989Q3,1989-07-01,64.36,70.72,4850.0,4910.0,110666.0,112461.0,6942.0,6943.0,,,,,,,0.6986459233650245
1989Q4,1989-10-01,70.22,79.31,5254.0,5918.0,120210.0,121501.0,5461.0,7462.0,,,,,,,0.9620948544222669
1990Q1,1990-01-01,65.81,57.92,5808.0,5359.0,133531.0,132799.0,10257.0,9253.0,,,,,,,0.5662474407721556
1990Q2,1990-04-01,58.31,35.53,3160.0,3030.0,133163.0,131230.0,10048.0,8528.0,,,,,,,0.3144904458598726
1990Q3,1990-07-01,53.09,47.79,4003.0,4131.0,122415.0,125085.0,8565.0,8644.0,,,,,,,0.4673671920607122
1990Q4,1990-10-01,45.12,39.0,3352.0,3803.0,122575.0,123906.0,7307.0,9752.0,,,,,,,0.4587381962501711
1991Q1,1991-01-01,42.53,50.41,4342.0,4070.0,124647.0,124158.0,9011.0,8074.0,,,,,,,0.48185550993230497
1991Q2,1991-04-01,47.68,54.28,4899.0,4645.0,130480.0,128157.0,9924.0,8557.0,,,,,,,0.49365175332527206
1991Q3,1991-07-01,47.24,45.41,3973.0,4046.0,129631.0,130814.0,8827.0,8909.0,,,,,,,0.4500962954571202
1991Q4,1991-10-01,47.59,40.6,3066.0,3519.0,128026.0,130179.0,6446.0,8668.0,,,,,,,0.4756438101147999
1992Q1,1992-01-01,47.49,51.13,5189.0,4899.0,129090.0,128908.0,10867.0,9581.0,,,,,,,0.47750069016287844
1992Q2,1992-04-01,47.61,52.41,4857.0,4500.0,131575.0,129094.0,9743.0,8586.0,,,,,,,0.49851175202709636
1992Q3,1992-07-01,49.15,50.8,4672.0,4669.0,128261.0,129431.0,9126.0,9191.0,,,,,,,0.5119438965592812
1992Q4,1992-10-01,51.36,51.18,4003.0,4653.0,128988.0,130609.0,6713.0,9091.0,,,,,,,0.5963056755548934
1993Q1,1993-01-01,48.07,39.42,3658.0,3528.0,132984.0,132880.0,10180.0,8950.0,,,,,,,0.3593320235756385
1993Q2,1993-04-01,49.31,55.99,5605.0,5104.0,135453.0,132765.0,10356.0,9116.0,,,,,,,0.54123213595983
1993Q3,1993-07-01,50.16,54.16,4879.0,4872.0,135240.0,135759.0,8927.0,8995.0,,,,,,,0.5465441917777529
1993Q4,1993-10-01,49.8,49.49,3923.0,4561.0,131318.0,134361.0,6814.0,9216.0,,,,,,,0.5757264455532727
1994Q1,1994-01-01,52.05,49.85,4391.0,4434.0,134308.0,133581.0,10016.0,8894.0,,,,,,,0.4383985623003195
1994Q2,1994-04-01,52.24,55.35,4676.0,4158.0,136737.0,134347.0,8446.0,7512.0,,,,,,,0.5536348567369169
1994Q3,1994-07-01,51.17,49.09,3454.0,3442.0,130997.0,131899.0,6858.0,7012.0,,,,,,,0.5036453776611257
1994Q4,1994-10-01,50.77,48.71,2941.0,3428.0,130461.0,134297.0,5136.0,7038.0,,,,,,,0.5726246105919003
1995Q1,1995-01-01,49.12,42.28,2803.0,2945.0,134834.0,133646.0,7804.0,6965.0,,,,,,,0.3591747821629933
1995Q2,1995-04-01,47.08,48.36,3797.0,3319.0,132932.0,130148.0,7804.0,6863.0,,,,,,,0.48654536135315224
1995Q3,1995-07-01,47.96,52.56,3661.0,3629.0,131276.0,131677.0,6784.0,6904.0,,,,,,,0.5396521226415094
1995Q4,1995-10-01,47.81,48.1,2742.0,3110.0,129318.0,133271.0,4806.0,6466.0,,,,,,,0.5705368289637952
1996Q1,1996-01-01,51.06,55.64,3800.0,3983.0,134559.0,133131.0,8023.0,7159.0,,,,,,,0.4736382899164901
1996Q2,1996-04-01,54.76,60.83,4916.0,4200.0,138139.0,135099.0,7997.0,6904.0,,,,,,,0.61473052394648
1996Q3,1996-07-01,57.55,63.67,4369.0,4287.0,134520.0,133805.0,6674.0,6733.0,,,,,,,0.6546299071021876
1996Q4,1996-10-01,63.66,74.47,4681.0,5296.0,131154.0,136097.0,5214.0,7112.0,,,,,,,0.8977752205600307
1997Q1,1997-01-01,69.0,76.91,4982.0,5436.0,138874.0,139000.0,7575.0,7068.0,,,,,,,0.6576897689768977
1997Q2,1997-04-01,73.25,74.04,6003.0,4976.0,145697.0,143357.0,7888.0,6721.0,,,,,,,0.7610294117647058
1997Q3,1997-07-01,79.58,89.47,5875.0,5534.0,142235.0,142793.0,6391.0,6185.0,,,,,,,0.9192614614301361
1997Q4,1997-10-01,81.33,85.9,4699.0,5613.0,146285.0,147933.0,4653.0,6534.0,,,,,,,1.009886094992478
