,WTI,COMM_INDEX (Non-energy commodities index from BoC)
1992Q1,18.91,209.413333333333
1992Q2,21.19,214.206666666666
1992Q3,21.67,212.633333333333
1992Q4,20.48,209.013333333333
1993Q1,19.83,228.426666666666
1993Q2,19.76,217.08
1993Q3,17.8,212.206666666666
1993Q4,16.45,225.276666666666
1994Q1,14.81,238.776666666666
1994Q2,17.78,235.14
1994Q3,18.5,234.956666666666
1994Q4,17.66,242.33
1995Q1,18.36,252.176666666666
1995Q2,19.34,252.45
1995Q3,17.85,270.256666666666
1995Q4,18.16,273.406666666666
1996Q1,19.77,262.783333333333
1996Q2,21.76,269.993333333333
1996Q3,22.42,264.166666666666
1996Q4,24.67,256.916666666666
1997Q1,22.79,253.746666666666
1997Q2,19.91,256.333333333333
1997Q3,19.78,247.39
1997Q4,19.92,237.856666666666
1998Q1,15.93,224.963333333333
1998Q2,14.65,223.713333333333
1998Q3,14.13,213.09
1998Q4,12.84,205.976666666666
1999Q1,13.05,212.77
1999Q2,17.66,220.183333333333
1999Q3,21.74,224.07
1999Q4,24.56,224.766666666666
2000Q1,28.81,235.02
2000Q2,28.78,228.503333333333
2000Q3,31.62,217.176666666666
2000Q4,31.98,210.18
2001Q1,28.81,207.976666666666
2001Q2,27.88,230.53
2001Q3,26.6,221.126666666666
2001Q4,20.4,200.413333333333
2002Q1,21.61,211.266666666666
2002Q2,26.27,209.31
2002Q3,28.33,202.65
2002Q4,28.18,197.923333333333
2003Q1,34.12,206.8
2003Q2,29.04,218.763333333333
2003Q3,30.21,230.34
2003Q4,31.19,234.923333333333
2004Q1,35.26,258.97
2004Q2,38.33,277.2
2004Q3,43.86,279.276666666666
2004Q4,48.31,267.723333333333
2005Q1,49.71,282.213333333333
2005Q2,53.04,278.903333333333
2005Q3,63.08,271.786666666666
2005Q4,60.03,279.523333333333
2006Q1,63.35,299.926666666666
2006Q2,70.53,323.59
2006Q3,70.44,327.903333333333
2006Q4,60.09,327.87
2007Q1,58.13,340.126666666666
2007Q2,64.97,358.353333333333
2007Q3,75.5,340.733333333333
2007Q4,90.85,338.72
2008Q1,97.95,368.373333333333
2008Q2,123.96,394.696666666666
2008Q3,117.98,378.723333333333
2008Q4,58.37,290.363333333333
2009Q1,42.96,280.24
2009Q2,59.54,294.48
2009Q3,68.2,295.83
2009Q4,76.0699999999999,307.703333333333
2010Q1,78.63,328.033333333333
2010Q2,77.89,336.426666666666
2010Q3,76.17,339.246666666666
2010Q4,85.03,367.48
2011Q1,93.98,405.52
2011Q2,102.55,409.79
2011Q3,89.7099999999999,414.28
2011Q4,94.06,389.486666666666
2012Q1,102.89,411.06
2012Q2,93.48,407.81
2012Q3,92.27,397.826666666666
2012Q4,88.16,409.486666666666
2013Q1,94.3199999999999,400.263333333333
2013Q2,94.22,381.76
2013Q3,105.85,366.99
2013Q4,97.36,360.216666666666
2014Q1,98.75,361.943333333333
2014Q2,103.35,373.866666666666
2014Q3,97.78,374.043333333333
2014Q4,73.16,358.876666666666
2015Q1,48.64,341.346666666666
2015Q2,57.86,337.353333333333
2015Q3,46.42,316.99
2015Q4,42.02,298.36
2016Q1,33.36,296.45
2016Q2,45.44,312.89
2016Q3,44.89,307.33
2016Q4,49.2,301.533333333333
2017Q1,51.83,319.496666666666
2017Q2,48.26,330.48
2017Q3,48.16,343.94
2017Q4,55.39,351.986666666666
2018Q1,62.88,367.17
2018Q2,67.86,382.08
2018Q3,69.72,351.76
2018Q4,58.9,328.593333333333
2019Q1,54.85,338.016666666666
2019Q2,59.79,333.793333333333
2019Q3,56.41,335.766666666666
2019Q4,56.91,336.893333333333
2020Q1,45.84,335.013333333333
2020Q2,27.83,321.48
2020Q3,40.89,370.926666666666
2020Q4,42.51,383.82
2021Q1,55.0,413.94
2021Q2,60.0,411.979877138877
2021Q3,65.0,421.228543792311
2021Q4,53.0,468.911583050245
2022Q1,52.0,482.230334850432
2022Q2,53.0,487.767931890882
2022Q3,56.1657105642281,405.43223252874
2022Q4,53.1994469934565,451.122481019565
2023Q1,56.0152661806246,441.707004829651
2023Q2,57.5254498494445,412.102460721615
2023Q3,54.0931289534012,402.095683187129
2023Q4,52.86,398.736570519551
