,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-03-31,732.8764022092182,592.4449902724648,422.1979455590275,1043.5548588594088
2021-06-30,1338.1676929964233,779.1480915784035,929.582034297217,1746.7533516956296
2021-09-30,2158.1484334950765,915.474890120003,1678.0729317448097,2638.2239352453435
2021-12-31,2066.271072528496,1044.9108217144408,1518.3193018872632,2614.2228431697285
2022-03-31,727.5802341808994,1419.4649386538865,-16.78790742028616,1471.948375782085
2022-06-30,1247.8473053765883,1686.1726581114924,363.6174989486419,2132.077111804535
2022-09-30,1909.3505063973244,1898.437101468997,913.8091170430157,2904.891895751633
2022-12-31,1545.9211845051286,2103.8300541618974,442.67162545204474,2649.1707435582125
2023-03-31,155.94770831363712,2533.9203778810047,-1172.8414370085138,1484.736853635788
2023-06-30,515.901796743965,2876.966325034008,-992.7808191476365,2024.5844126355664
2023-09-30,1063.627254846364,3162.6667479141206,-594.8768092844725,2722.1313189772004
2023-12-31,757.5050320346563,3441.880706063819,-1047.4189749051234,2562.429038974436
