,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-03-31,469420.55725398764,1.033912879416277,465471.0112874445,473403.61532539566
2021-06-30,472807.9308064127,1.0563508837253333,466286.6850501566,479420.37935180473
2021-09-30,482462.2182154958,1.0721382664437966,474022.93772887066,491051.7476657537
2021-12-31,471668.1715590925,1.0844103387881188,462083.3941982912,481451.76142475667
2022-03-31,474083.46176835004,1.1057311262080054,462164.222159599,486310.0991938056
2022-06-30,477149.821864653,1.1272309127574631,462889.62943410134,491849.32655286946
2022-09-30,486478.39572461986,1.1459350938469226,469975.84629800805,503560.4092656599
2022-12-31,477735.6442897495,1.1624530235392514,459859.30063326407,496306.9041131685
2023-03-31,481088.02614658244,1.187158521291702,460625.50457918306,502459.5611853024
2023-06-30,484337.031183403,1.2126347172464507,461248.45345095714,508581.3470385868
2023-09-30,492168.3975082169,1.2359062154209117,466454.68541159906,519299.5999001768
2023-12-31,483758.16237450857,1.257238613453969,456500.35204327863,512643.54696877627
