,0
1980Q1,88573.0
1980Q2,94050.0
1980Q3,96884.0
1980Q4,96039.0
1981Q1,104432.0
1981Q2,109237.0
1981Q3,111158.0
1981Q4,106242.0
1982Q1,107564.0
1982Q2,109423.0
1982Q3,106495.0
1982Q4,101874.0
1983Q1,103625.0
1983Q2,101020.0
1983Q3,97332.0
1983Q4,91715.0
1984Q1,89421.0
1984Q2,90088.0
1984Q3,88172.0
1984Q4,78667.0
1985Q1,78728.0
1985Q2,81152.0
1985Q3,81252.0
1985Q4,80398.0
1986Q1,84411.0
1986Q2,89243.0
1986Q3,85954.0
1986Q4,86201.0
1987Q1,87752.0
1987Q2,94584.0
1987Q3,96135.0
1987Q4,93806.0
1988Q1,94856.0
1988Q2,101090.0
1988Q3,102450.0
1988Q4,103696.0
1989Q1,107011.0
1989Q2,112377.0
1989Q3,110666.0
1989Q4,120210.0
1990Q1,133531.0
1990Q2,133163.0
1990Q3,122415.0
1990Q4,122575.0
1991Q1,124647.0
1991Q2,130480.0
1991Q3,129631.0
1991Q4,128026.0
1992Q1,129090.0
1992Q2,131575.0
1992Q3,128261.0
1992Q4,128988.0
1993Q1,132984.0
1993Q2,135453.0
1993Q3,135240.0
1993Q4,131318.0
1994Q1,134308.0
1994Q2,136737.0
1994Q3,130997.0
1994Q4,130461.0
1995Q1,134834.0
1995Q2,132932.0
1995Q3,131276.0
1995Q4,129318.0
1996Q1,134559.0
1996Q2,138139.0
1996Q3,134520.0
1996Q4,131154.0
1997Q1,138874.0
1997Q2,145697.0
1997Q3,142235.0
1997Q4,146285.0
1998Q1,154854.0
1998Q2,157481.0
1998Q3,158020.0
1998Q4,159005.0
1999Q1,163032.0
1999Q2,165884.0
1999Q3,165810.0
1999Q4,170237.0
2000Q1,174910.0
2000Q2,178591.0
2000Q3,175509.0
2000Q4,175739.0
2001Q1,179779.0
2001Q2,183102.0
2001Q3,182787.0
2001Q4,182241.0
2002Q1,190719.0
2002Q2,200867.0
2002Q3,198785.0
2002Q4,204257.0
2003Q1,206245.0
2003Q2,210962.0
2003Q3,212404.0
2003Q4,215249.0
2004Q1,220449.0
2004Q2,222109.0
2004Q3,221092.0
2004Q4,228678.0
2005Q1,245049.0
2005Q2,248234.0
2005Q3,247739.0
2005Q4,263458.0
2006Q1,308576.0
2006Q2,355733.0
2006Q3,364182.0
2006Q4,365352.0
2007Q1,397365.0
2007Q2,425703.0
2007Q3,426261.0
2007Q4,407338.0
2008Q1,426763.0
2008Q2,431486.0
2008Q3,408551.0
2008Q4,392843.0
2009Q1,379252.0
2009Q2,394706.0
2009Q3,402633.0
2009Q4,411448.0
2010Q1,407762.0
2010Q2,424517.0
2010Q3,411762.0
2010Q4,404002.0
2011Q1,409420.0
2011Q2,427671.0
2011Q3,414566.0
2011Q4,409577.0
2012Q1,415505.0
2012Q2,435672.0
2012Q3,419690.0
2012Q4,430005.0
2013Q1,446575.0
2013Q2,450301.0
2013Q3,449462.0
2013Q4,457616.0
2014Q1,470551.0
2014Q2,478427.0
2014Q3,474282.0
2014Q4,472591.0
2015Q1,461849.0
2015Q2,476892.0
2015Q3,464942.0
2015Q4,460231.0
2016Q1,461103.0
2016Q2,481102.0
2016Q3,479845.0
2016Q4,477692.0
2017Q1,478036.0
2017Q2,495077.0
2017Q3,473957.0
2017Q4,462303.0
2018Q1,479397.0
2018Q2,485375.0
2018Q3,476113.0
2018Q4,458880.0
2019Q1,458321.0
2019Q2,463284.0
2019Q3,455098.0
2019Q4,448153.0
2020Q1,449322.0
2020Q2,446318.0
2020Q3,471379.0
2020Q4,465068.0
2021Q1,469843.24929513125
2021Q2,473073.90948653803
2021Q3,482861.9677385605
2021Q4,472080.1339253695
2022Q1,474530.267127941
2022Q2,477369.12922876
2022Q3,486680.9871139236
2022Q4,477736.2070364005
2023Q1,480846.64088084205
2023Q2,483549.28087434225
2023Q3,490998.9719402976
2023Q4,482341.28856444027
