,Alberta_Real GDP,Alberta_Real household disp. income,Alberta_CPI,Alberta_Unemployment rate,Alberta_Number of households,Alberta_Share of population aged 25-34,Alberta_Real 5-year mortgage rate
1984Q1," 124,537.70 ",47427.90565,0.59343473,10.9,803683.2802,0.202737048,9.197291788
1984Q2," 126,432.68 ",49015.06997,0.59518123,11.6,805299.5252,0.202875669,12.05571429
1984Q3," 124,688.80 ",49448.102,0.600481259,11.7,806795.7098,0.202639451,11.63115538
1984Q4," 128,648.82 ",50330.217,0.603223222,11.4,808371.419,0.203534521,10.73499434
1985Q1," 134,650.90 ",52204.21495,0.608992522,10.5,810209.4084,0.204119993,10.3328234
1985Q2," 134,415.19 ",54502.05478,0.614670647,10.0,812425.1159,0.204330712,8.868377168
1985Q3," 135,288.07 ",54499.88562,0.616883115,9.3,815117.1502,0.203979499,8.98145072
1985Q4," 136,713.50 ",54764.81317,0.6230563,9.3,818384.12,0.204763798,8.403111849
1986Q1," 135,641.43 ",53826.63404,0.630011194,8.9,822240.8351,0.205291461,8.350877193
1986Q2," 132,185.11 ",54178.54955,0.633067974,10.4,826366.9107,0.205420043,7.796413868
1986Q3," 130,415.66 ",53296.02523,0.639310236,10.3,830358.1632,0.203979016,7.416206897
1986Q4," 127,569.81 ",52696.33572,0.644920694,10.5,833810.409,0.203872592,7.684745308
1987Q1," 129,345.55 ",52353.64276,0.648911943,10.5,836439.9766,0.203880763,7.360752916
1987Q2," 130,803.55 ",51602.64829,0.659515788,9.8,838445.2429,0.203178201,6.963901157
1987Q3," 135,536.54 ",53301.95755,0.668121577,9.5,840145.0967,0.202099491,7.058170478
1987Q4," 139,726.35 ",53125.83553,0.673442365,8.3,841858.427,0.20225334,7.175854922
1988Q1," 143,214.39 ",53781.2372,0.675366935,8.3,843861.7117,0.202082129,7.352028836
1988Q2," 145,540.50 ",55422.67803,0.680051078,7.9,846261.785,0.201633909,8.12184662
1988Q3," 144,768.11 ",57026.54782,0.681450137,7.9,849123.0703,0.200967673,9.930939831
1988Q4," 143,141.00 ",58078.17129,0.685192125,7.9,852509.991,0.200696997,10.2630273
1989Q1," 146,741.20 ",58592.66042,0.692201473,7.5,856450.2202,0.200037699,9.896496784
1989Q2," 148,988.65 ",59503.41145,0.704137528,7.2,860824.4304,0.199126943,8.727495108
1989Q3," 146,660.06 ",58152.01935,0.715856838,7.1,865476.5439,0.198026011,6.728059483
1989Q4," 142,702.08 ",58596.37254,0.724182435,6.8,870250.483,0.197643882,6.122682927
1990Q1," 149,456.38 ",59803.77431,0.734934864,6.7,875024.3572,0.196649069,6.194131274
1990Q2," 149,490.09 ",57785.83965,0.743083424,6.5,879813.025,0.195607633,8.517958412
1990Q3," 149,877.64 ",58919.08417,0.753349872,6.8,884665.532,0.194456263,8.220371402
1990Q4," 149,447.55 ",59215.37588,0.76797412,7.6,889630.924,0.193044318,6.488629442
1991Q1," 150,151.78 ",58885.8295,0.786568643,7.7,894716.3606,0.191855228,4.332312585
1991Q2," 149,358.07 ",57753.02762,0.790605425,8.1,899761.4574,0.190754824,4.682795699
1991Q3," 149,908.20 ",58412.30978,0.797848041,8.3,904563.9437,0.189303783,5.300626655
1991Q4," 151,497.95 ",59110.63477,0.799191711,8.9,908921.549,0.18772178,5.797768595
1992Q1," 150,061.00 ",57610.76465,0.801302302,9.4,912698.268,0.186462444,7.840793381
1992Q2," 150,448.06 ",58586.92694,0.804176101,9.2,916023.1565,0.185161797,8.036510746
1992Q3," 152,701.03 ",60114.06898,0.806297412,9.4,919091.5355,0.183603072,7.417899125
1992Q4," 151,705.91 ",59266.70999,0.810340727,9.8,922098.726,0.181948568,7.708011696
1993Q1," 159,395.37 ",60720.31357,0.811029678,9.2,925200.2524,0.18034222,7.862672773
1993Q2," 162,859.09 ",63320.33851,0.810750193,9.7,928392.4526,0.178836569,7.912271973
1993Q3," 165,384.13 ",61453.29072,0.815762172,10.0,931631.8681,0.177283427,7.344884488
1993Q4," 164,273.41 ",60614.51877,0.819911377,9.4,934875.04,0.175537954,6.594923837
1994Q1," 168,373.24 ",61599.98504,0.820603736,9.2,938089.9483,0.174098557,6.418210613
1994Q2," 171,070.44 ",61953.33272,0.822762905,9.3,941290.3265,0.172621155,8.189127931
1994Q3," 173,146.57 ",61567.55232,0.828763147,8.8,944501.3467,0.170986314,8.459461664
1994Q4," 175,409.75 ",61964.19398,0.832998849,7.9,947748.181,0.169582183,8.223322489
1995Q1," 178,466.93 ",61836.18388,0.840042896,7.7,951049.6048,0.168133384,7.771984547
1995Q2," 177,409.48 ",62074.45462,0.843838049,7.9,954398.8068,0.166743365,6.115755979
1995Q3," 176,056.85 ",62074.65579,0.846348333,8.0,957782.5789,0.165367291,6.422340426
1995Q4," 177,178.74 ",62536.55151,0.850674719,7.8,961187.713,0.16397991,6.159151661
1996Q1," 178,136.97 ",63048.63763,0.855423929,7.4,964630.6663,0.162437871,5.741446741
1996Q2," 181,053.43 ",63026.41513,0.862565464,7.0,968246.5562,0.161327898,5.747925721
1996Q3," 182,231.76 ",63376.84951,0.866442734,6.7,972200.1652,0.160064401,5.232201258
1996Q4," 184,725.85 ",64224.62186,0.86972212,6.5,976656.276,0.158906488,4.29645768
1997Q1," 192,243.88 ",65586.60772,0.881323766,6.4,981738.8103,0.15790571,3.712409215
1997Q2," 193,928.65 ",66058.51154,0.879630904,5.9,987408.247,0.157071456,4.82072643
1997Q3," 191,726.90 ",68179.83794,0.881050518,5.6,993584.2042,0.156027226,4.722552783
1997Q4," 197,824.95 ",68780.28535,0.883459902,5.6,1000186.3,0.154906399,4.748516673
1998Q1," 205,589.74 ",69617.09532,0.885944052,5.3,1007114.956,0.154070074,5.894937429
1998Q2," 203,402.31 ",70031.5002,0.891013512,5.3,1014193.805,0.15355275,5.124242424
1998Q3," 202,113.03 ",71630.264,0.893189012,5.6,1021227.284,0.152439901,5.146037736
1998Q4," 202,810.92 ",72468.47208,0.895976496,6.1,1028019.83,0.151234495,4.603773585
1999Q1," 206,730.52 ",71550.0593,0.903348186,5.8,1034424.367,0.150189611,4.212495281
1999Q2," 203,198.00 ",72324.96164,0.907123425,5.7,1040487.765,0.149622471,4.430841121
1999Q3," 206,125.97 ",72993.22867,0.917241008,5.7,1046305.383,0.148723041,3.95422619
1999Q4," 207,953.51 ",73658.80642,0.926264992,5.4,1051972.58,0.147841933,3.900539635
2000Q1," 214,820.80 ",74474.58819,0.93077188,5.0,1057601.52,0.147463717,4.468888477
2000Q2," 218,113.97 ",75951.37679,0.936500047,4.9,1063371.598,0.147277393,4.197247706
2000Q3," 220,338.93 ",77904.20257,0.951628364,5.1,1069479.014,0.146949924,3.519467584
2000Q4," 221,438.30 ",80477.47639,0.962839558,4.9,1076119.97,0.14678194,3.124900972
2001Q1," 222,717.69 ",85329.52994,0.953297638,5.0,1083419.069,0.146160928,4.049928058
2001Q2," 225,502.74 ",83575.20719,0.978760677,4.7,1091214.525,0.146245268,1.91740675
2001Q3," 222,555.38 ",86252.21794,0.978452671,4.4,1099272.95,0.146179708,3.521620112
2001Q4," 218,308.19 ",87267.24048,0.956532823,4.8,1107360.96,0.145987962,6.528350658
2002Q1," 225,864.86 ",86576.94028,0.975601555,5.2,1115274.608,0.14604928,3.426645592
2002Q2," 225,089.57 ",85725.40821,0.991362748,5.7,1122927.702,0.14626148,4.825271739
2002Q3," 229,487.62 ",86070.58796,1.002404819,5.3,1130263.487,0.146186259,3.417495753
2002Q4," 229,010.33 ",86342.66836,1.03045102,5.2,1137225.21,0.145896385,-2.178405999
