,0
1980Q1,2886.0
1980Q2,2590.0
1980Q3,3298.0
1980Q4,2825.0
1981Q1,3296.0
1981Q2,3690.0
1981Q3,2552.0
1981Q4,2237.0
1982Q1,2258.0
1982Q2,1452.0
1982Q3,1427.0
1982Q4,1715.0
1983Q1,1753.0
1983Q2,1913.0
1983Q3,1890.0
1983Q4,1409.0
1984Q1,2457.0
1984Q2,2323.0
1984Q3,2211.0
1984Q4,2190.0
1985Q1,3212.0
1985Q2,4087.0
1985Q3,3744.0
1985Q4,3231.0
1986Q1,2969.0
1986Q2,3036.0
1986Q3,3016.0
1986Q4,2273.0
1987Q1,3643.0
1987Q2,4309.0
1987Q3,3699.0
1987Q4,2686.0
1988Q1,3282.0
1988Q2,5245.0
1988Q3,4210.0
1988Q4,3191.0
1989Q1,4482.0
1989Q2,4546.0
1989Q3,4850.0
1989Q4,5254.0
1990Q1,5808.0
1990Q2,3160.0
1990Q3,4003.0
1990Q4,3352.0
1991Q1,4342.0
1991Q2,4899.0
1991Q3,3973.0
1991Q4,3066.0
1992Q1,5189.0
1992Q2,4857.0
1992Q3,4672.0
1992Q4,4003.0
1993Q1,3658.0
1993Q2,5605.0
1993Q3,4879.0
1993Q4,3923.0
1994Q1,4391.0
1994Q2,4676.0
1994Q3,3454.0
1994Q4,2941.0
1995Q1,2803.0
1995Q2,3797.0
1995Q3,3661.0
1995Q4,2742.0
1996Q1,3800.0
1996Q2,4916.0
1996Q3,4369.0
1996Q4,4681.0
1997Q1,4982.0
1997Q2,6003.0
1997Q3,5875.0
1997Q4,4699.0
1998Q1,4498.0
1998Q2,6612.0
1998Q3,5289.0
1998Q4,4155.0
1999Q1,4612.0
1999Q2,6068.0
1999Q3,5357.0
1999Q4,4160.0
2000Q1,4796.0
2000Q2,5747.0
2000Q3,5156.0
2000Q4,4129.0
2001Q1,4966.0
2001Q2,6521.0
2001Q3,5883.0
2001Q4,5142.0
2002Q1,6474.0
2002Q2,7006.0
2002Q3,6311.0
2002Q4,4915.0
2003Q1,5602.0
2003Q2,7126.0
2003Q3,6588.0
2003Q4,5043.0
2004Q1,6242.0
2004Q2,7743.0
2004Q3,6857.0
2004Q4,5669.0
2005Q1,6812.0
2005Q2,9521.0
2005Q3,8158.0
2005Q4,7078.0
2006Q1,8965.0
2006Q2,10327.0
2006Q3,7282.0
2006Q4,6453.0
2007Q1,9918.0
2007Q2,10058.0
2007Q3,6906.0
2007Q4,5294.0
2008Q1,6362.0
2008Q2,7194.0
2008Q3,6292.0
2008Q4,3400.0
2009Q1,4100.0
2009Q2,7920.0
2009Q3,7419.0
2009Q4,5544.0
2010Q1,5763.0
2010Q2,6390.0
2010Q3,4815.0
2010Q4,4157.0
2011Q1,5514.0
2011Q2,6823.0
2011Q3,5776.0
2011Q4,4663.0
2012Q1,6134.0
2012Q2,8695.0
2012Q3,6881.0
2012Q4,5361.0
2013Q1,6357.0
2013Q2,9362.0
2013Q3,8432.0
2013Q4,6240.0
2014Q1,7418.0
2014Q2,10924.0
2014Q3,9166.0
2014Q4,6616.0
2015Q1,5051.0
2015Q2,8134.0
2015Q3,6654.0
2015Q4,4625.0
2016Q1,4480.0
2016Q2,7407.0
2016Q3,6254.0
2016Q4,4874.0
2017Q1,5294.0
2017Q2,7840.0
2017Q3,6166.0
2017Q4,5010.0
2018Q1,4454.0
2018Q2,6626.0
2018Q3,5725.0
2018Q4,4188.0
2019Q1,4071.0
2019Q2,6794.0
2019Q3,6054.0
2019Q4,4436.0
2020Q1,4234.0
2020Q2,4657.0
2020Q3,7197.0
2020Q4,5979.0
2021Q1,5600.115482562982
2021Q2,7997.986239385607
2021Q3,7979.042824220943
2021Q4,6061.648664499914
2022Q1,5880.822051067973
2022Q2,8003.7069364667095
2022Q3,7719.56795946932
2022Q4,6120.240560168651
2023Q1,6091.803185452449
2023Q2,8203.6385050595
2023Q3,7737.722431496182
2023Q4,6186.698032601431
