,mean,mean_se,mean_ci_lower,mean_ci_upper
2020-03-31,4221.630283102757,712.5365579228667,3947.075364271475,4496.185201934039
2020-06-30,6388.684461599144,954.2045104971369,6021.009934566182,6756.358988632106
2020-09-30,5593.891465754987,1055.7667738693503,5187.082920030036,6000.7000114799375
2020-12-31,4210.037582557386,1155.2817821399558,3764.883867431052,4655.191297683719
2021-03-31,4611.966602556794,1339.8414404919592,4095.698273794245,5128.234931319343
2021-06-30,7184.9128989273595,1482.6328452541763,6613.624119482841,7756.201678371878
2021-09-30,6087.895381252813,1598.5669194387283,5471.934830270974,6703.855932234653
2021-12-31,4322.961282477527,1705.1484732922727,3665.932677454396,4979.9898875006575
2022-03-31,4386.675050395442,1867.5705392174862,3667.061899175127,5106.288201615756
2022-06-30,6815.3909887340005,2004.2574548223465,6043.109571441009,7587.672406026992
2022-09-30,5636.979659287097,2123.5713863583073,4818.724142245749,6455.235176328445
2022-12-31,4081.096812255149,2234.0148410268534,3220.2851717492535,4941.908452761045
2023-03-31,4244.10393857175,2393.5069688103063,3321.8367169999997,5166.371160143502
2023-06-30,6686.521957132386,2532.0531668379685,5710.870049917621,7662.173864347151
2023-09-30,5365.593204403469,2655.804663759596,4342.257312676227,6388.929096130711
2023-12-31,3840.5731992097685,2771.5794019567206,2772.626931362197,4908.51946705734
