,mean,mean_se,mean_ci_lower,mean_ci_upper
2021-03-31,992.7975799828171,236.36843485238705,901.7199844214686,1083.8751755441656
2021-06-30,1118.2988422336575,340.9041438079565,986.9414985413032,1249.6561859260119
2021-09-30,1175.426326469631,395.7783660876836,1022.9248218546998,1327.9278310845623
2021-12-31,1137.6220764886227,428.7740814642176,972.406647435354,1302.8375055418915
2022-03-31,997.1541780048618,463.7357006782922,818.4673215296621,1175.8410344800616
2022-06-30,1064.2422883424856,488.8140836724345,875.8922176352353,1252.592359049736
2022-09-30,1102.1466911206717,505.1990331438673,907.4831640410245,1296.810218200319
2022-12-31,1128.9069704316714,516.1533529257933,930.0225197444748,1327.7914211188681
2023-03-31,999.5947991500689,541.7148790098173,790.860969310087,1208.3286289900507
2023-06-30,1071.7247989937932,562.9366021079661,854.8138049116603,1288.6357930759261
2023-09-30,1102.2063428010415,577.0995670506203,879.838068461491,1324.574617140592
2023-12-31,1118.7780673536645,586.7404069779434,892.6949800767572,1344.8611546305717
