,mean,mean_ci_lower,mean_ci_upper
2021-03-31,966.0785272644003,858.0966552325701,1074.0603992962306
2021-06-30,1068.492349059576,907.2634248251793,1229.721273293973
2021-09-30,1129.9853005355926,948.4847462163082,1311.485854854877
2021-12-31,1132.6411350722965,941.9966246071854,1323.2856455374076
2022-03-31,1012.7511771308995,809.852894656473,1215.6494596053258
2022-06-30,1138.0782827399232,926.2991636092502,1349.8574018705963
2022-09-30,1184.456970714873,968.3606217450672,1400.5533196846789
2022-12-31,1239.5194145123116,1021.243890880757,1457.7949381438664
2023-03-31,1098.188059044298,864.5582719681183,1331.8178461204775
2023-06-30,1180.581319861338,932.2586338931849,1428.904005829491
2023-09-30,1221.8559453292328,966.4655172403952,1477.2463734180703
2023-12-31,1231.293666223773,972.3460907411778,1490.2412417063683
