_date_,apt_start,semi_start,row_start,sfd_start,tot_start
1971-01-01,NA,NA,NA,NA,NA
1971-02-01,NA,NA,NA,NA,NA
1971-03-01,NA,NA,NA,NA,NA
1971-04-01,NA,NA,NA,NA,NA
1971-05-01,NA,NA,NA,NA,NA
1971-06-01,NA,NA,NA,NA,NA
1971-07-01,NA,NA,NA,NA,NA
1971-08-01,NA,NA,NA,NA,NA
1971-09-01,NA,NA,NA,NA,NA
1971-10-01,NA,NA,NA,NA,NA
1971-11-01,NA,NA,NA,NA,NA
1971-12-01,NA,NA,NA,NA,NA
1972-01-01,82,28,8,204,322
1972-02-01,54,34,82,357,527
1972-03-01,127,18,26,419,590
1972-04-01,52,40,42,446,580
1972-05-01,406,30,7,472,915
1972-06-01,680,36,11,420,1147
1972-07-01,147,56,0,406,609
1972-08-01,168,28,21,350,567
1972-09-01,61,34,16,344,455
1972-10-01,148,24,0,240,412
1972-11-01,60,22,9,441,532
1972-12-01,84,26,13,268,391
1973-01-01,125,42,0,287,454
1973-02-01,20,26,36,342,424
1973-03-01,136,22,20,393,571
1973-04-01,125,52,61,472,710
1973-05-01,123,72,0,446,641
1973-06-01,365,26,0,427,818
1973-07-01,159,8,20,301,488
1973-08-01,193,6,0,358,557
1973-09-01,21,4,10,312,347
1973-10-01,243,84,0,556,883
1973-11-01,156,58,0,482,696
1973-12-01,57,22,11,302,392
1974-01-01,222,28,12,430,692
1974-02-01,5,6,10,392,413
1974-03-01,4,14,4,601,623
1974-04-01,20,18,38,748,824
1974-05-01,8,16,24,462,510
1974-06-01,290,32,14,612,948
1974-07-01,27,30,100,392,549
1974-08-01,11,28,32,303,374
1974-09-01,35,30,0,292,357
1974-10-01,4,18,59,334,415
1974-11-01,30,12,31,339,412
1974-12-01,0,14,32,324,370
1975-01-01,0,20,0,279,299
1975-02-01,6,180,14,112,312
1975-03-01,14,46,56,316,432
1975-04-01,36,54,0,461,551
1975-05-01,6,48,6,429,489
1975-06-01,57,50,62,484,653
1975-07-01,19,46,106,452,623
1975-08-01,94,68,10,414,586
1975-09-01,138,184,50,419,791
1975-10-01,58,70,220,530,878
1975-11-01,103,32,42,480,657
1975-12-01,694,76,330,501,1601
1976-01-01,156,44,19,210,429
1976-02-01,329,36,166,438,969
1976-03-01,288,26,97,520,931
1976-04-01,540,36,618,502,1696
1976-05-01,195,30,234,338,797
1976-06-01,239,56,267,355,917
1976-07-01,349,70,482,384,1285
1976-08-01,63,76,366,202,707
1976-09-01,75,140,128,349,692
1976-10-01,375,104,372,377,1228
1976-11-01,226,90,547,192,1055
1976-12-01,79,62,269,244,654
1977-01-01,32,30,17,250,329
1977-02-01,150,50,241,138,579
1977-03-01,46,36,185,201,468
1977-04-01,467,38,417,305,1227
1977-05-01,460,96,470,220,1246
1977-06-01,540,76,222,362,1200
1977-07-01,686,112,266,425,1489
1977-08-01,782,152,271,200,1405
1977-09-01,440,156,330,276,1202
1977-10-01,206,144,84,415,849
1977-11-01,577,130,609,407,1723
1977-12-01,661,154,219,439,1473
1978-01-01,848,194,676,285,2003
1978-02-01,324,270,260,316,1170
1978-03-01,418,192,237,469,1316
1978-04-01,238,176,121,370,905
1978-05-01,20,142,294,461,917
1978-06-01,535,144,199,434,1312
1978-07-01,295,155,411,567,1428
1978-08-01,260,168,292,408,1128
1978-09-01,888,196,192,352,1628
1978-10-01,116,250,84,473,923
1978-11-01,947,222,186,443,1798
1978-12-01,409,162,81,202,854
1979-01-01,560,170,493,296,1519
