_date_,apt_start,semi_start,row_start,sfd_start,total_start,multi_start,,,,
3/31/1980,429,320,286,976,2011,1035,,,,
6/30/1980,653,368,445,1288,2754,1466,,,,
9/30/1980,396,414,469,1521,2800,1279,,,,
12/31/1980,1025,278,409,1827,3539,1712,,,,
3/31/1981,451,340,217,1756,2764,1008,,,,
6/30/1981,1488,312,458,2555,4813,2258,,,,
9/30/1981,1585,124,676,1850,4235,2385,,,,
12/31/1981,1909,106,558,787,3360,2573,,,,
3/31/1982,802,246,85,657,1790,1133,,,,
6/30/1982,1753,158,1139,1205,4255,3050,,,,
9/30/1982,735,38,451,483,1707,1224,,,,
12/31/1982,744,28,280,795,1847,1052,,,,
3/31/1983,658,52,147,681,1538,857,,,,
6/30/1983,690,18,131,1436,2275,839,,,,
9/30/1983,38,20,41,446,545,99,,,,
12/31/1983,26,0,18,480,524,44,,,,
3/31/1984,0,2,35,289,326,37,,,,
6/30/1984,0,0,5,608,613,5,,,,
9/30/1984,0,2,4,567,573,6,,,,
12/31/1984,0,4,0,287,291,4,,,,
3/31/1985,0,0,5,252,257,5,,,,
6/30/1985,0,0,0,430,430,0,,,,
9/30/1985,0,2,0,758,760,2,,,,
12/31/1985,7,10,0,854,871,17,,,,
3/31/1986,0,2,0,651,653,2,,,,
6/30/1986,15,20,11,587,633,46,,,,
9/30/1986,46,24,0,421,491,70,,,,
12/31/1986,264,22,163,453,902,449,,,,
3/31/1987,0,12,0,412,424,12,,,,
6/30/1987,20,8,19,932,979,47,,,,
9/30/1987,68,14,0,1015,1097,82,,,,
12/31/1987,0,34,129,803,966,163,,,,
3/31/1988,0,8,22,657,687,30,,,,
6/30/1988,11,14,3,866,894,28,,,,
9/30/1988,0,156,0,920,1076,156,,,,
12/31/1988,4,158,97,884,1143,259,,,,
3/31/1989,0,72,148,785,1005,220,,,,
6/30/1989,0,48,0,1515,1563,48,,,,
9/30/1989,45,24,263,1421,1753,332,,,,
12/31/1989,264,62,24,1557,1907,350,,,,
3/31/1990,3,126,69,1964,2162,198,,,,
6/30/1990,180,52,280,1791,2303,512,,,,
9/30/1990,254,66,115,951,1386,435,,,,
12/31/1990,34,32,229,858,1153,295,,,,
3/31/1991,34,26,12,652,724,72,,,,
6/30/1991,78,46,45,1263,1432,169,,,,
9/30/1991,36,34,73,1164,1307,143,,,,
12/31/1991,24,152,40,1071,1287,216,,,,
3/31/1992,27,64,66,1140,1297,157,,,,
6/30/1992,93,92,154,1951,2290,339,,,,
9/30/1992,37,90,163,1407,1697,290,,,,
12/31/1992,17,116,133,1484,1750,266,,,,
3/31/1993,18,68,203,965,1254,289,,,,
6/30/1993,86,102,174,1468,1830,362,,,,
9/30/1993,113,52,223,1295,1683,388,,,,
12/31/1993,23,106,241,1492,1862,370,,,,
3/31/1994,4,50,57,1120,1231,111,,,,
6/30/1994,23,72,158,1780,2033,253,,,,
9/30/1994,302,124,295,1239,1960,721,,,,
12/31/1994,345,92,176,1040,1653,613,,,,
3/31/1995,14,36,91,812,953,141,,,,
6/30/1995,48,66,138,1182,1434,252,,,,
9/30/1995,280,70,171,1235,1756,521,,,,
12/31/1995,189,54,141,1158,1542,384,,,,
3/31/1996,191,18,39,869,1117,248,,,,
6/30/1996,32,82,126,1763,2003,240,,,,
9/30/1996,182,72,86,1764,2104,340,,,,
12/31/1996,110,120,191,1466,1887,421,,,,
3/31/1997,340,82,153,1884,2459,575,,,,
6/30/1997,275,130,160,2317,2882,565,,,,
9/30/1997,213,124,251,2174,2762,588,,,,
12/31/1997,289,152,390,2281,3112,831,,,,
3/31/1998,489,124,169,2089,2871,782,,,,
6/30/1998,363,114,228,2817,3522,705,,,,
9/30/1998,375,128,187,2437,3127,690,,,,
12/31/1998,731,160,208,1876,2975,1099,,,,
3/31/1999,817,122,191,1211,2341,1130,,,,
