,0
2021-01-01,490512.07736914366
2021-04-01,502797.7141120943
2021-07-01,494582.1451851117
2021-10-01,507082.563301209
2022-01-01,539326.9943611709
2022-04-01,529583.6610170554
2022-07-01,525783.075571513
2022-10-01,521273.9804856431
2023-01-01,505878.80448390526
2023-04-01,515780.05834063166
2023-07-01,528987.2816964883
2023-10-01,541557.6967316897
2024-01-01,549772.8795349629
2024-04-01,564207.95368664
2024-07-01,572737.8964490993
2024-10-01,587382.4252054328
2025-01-01,585307.0361089417
2025-04-01,569953.690742713
2025-07-01,599787.8481107295
2025-10-01,595133.2585017858
