,avg_price_sa_log,mean,mean_ci_lower,mean_ci_upper
2019-01-01,458071.0000000002,,,
2019-04-01,455373.99999999994,,,
2019-07-01,454028.0,,,
2019-10-01,454072.0000000002,,,
2020-01-01,451750.99999999965,,,
2020-04-01,437226.9999999999,,,
2020-07-01,470946.0000000002,,,
2020-10-01,469687.99999999977,,,
2021-01-01,496689.9999999996,,,
2021-04-01,506876.99999999994,,,
2021-07-01,490102.99999999965,,,
2021-10-01,502881.0000000004,,,
2022-01-01,,509255.8804984113,505971.7057861418,512561.37221994705
2022-04-01,,513754.9330674754,508250.0282080812,519319.4620800011
2022-07-01,,516145.13397320354,508497.36536771554,523907.92454070464
2022-10-01,,517926.46366513986,508191.24865409045,527848.1722680455
2023-01-01,,518515.0896380218,506775.4191051075,530526.7146877212
2023-04-01,,520264.8670938248,506561.85696572764,534338.5574932228
2023-07-01,,521871.68731752236,506276.17195455224,537947.6126087293
2023-10-01,,522663.88175100595,505271.291380139,540655.1647548592
2024-01-01,,523388.6841486573,504273.8184959441,543228.1126787594
2024-04-01,,524287.8565605879,503513.66830208816,545919.155410057
2024-07-01,,525322.188748094,502948.1010934402,548691.6073271311
2024-10-01,,526575.2107573329,502651.7655081402,551637.2797453929
