,avg_price_sa_log,mean,mean_ci_lower,mean_ci_upper
2019-01-01,458071.0000000002,,,
2019-04-01,455373.99999999994,,,
2019-07-01,454028.0,,,
2019-10-01,454072.0000000002,,,
2020-01-01,451750.99999999965,,,
2020-04-01,437226.9999999999,,,
2020-07-01,470946.0000000002,,,
2020-10-01,469687.99999999977,,,
2021-01-01,496689.9999999996,,,
2021-04-01,506876.99999999994,,,
2021-07-01,490102.99999999965,,,
2021-10-01,502881.0000000004,,,
2022-01-01,,512706.5428195101,509386.9183608031,516047.80094439426
2022-04-01,,519821.32784469443,513976.2850123879,525732.8416927028
2022-07-01,,527663.8065896555,519637.1332954871,535814.4654114993
2022-10-01,,530389.4222388921,520386.5537962021,540584.5657823737
2023-01-01,,531913.7527008498,520355.53283472627,543728.7055851577
2023-04-01,,535658.5800946982,522676.45217863924,548963.1553766687
2023-07-01,,539178.4008476622,524892.0377369561,553853.6061511571
2023-10-01,,541815.578874175,526334.756696729,557751.7307676249
2024-01-01,,544201.5818074245,527602.8730021233,561322.4961352914
2024-04-01,,546763.860205204,529097.9619962113,565019.5999595186
2024-07-01,,549368.4368226036,530679.8874465851,568715.126606883
2024-10-01,,552099.1665975563,532421.9712752067,572503.5896389773
