,0,mean,mean_ci_lower,mean_ci_upper
1993-12-31,584.0,,,
1994-12-31,585.0,,,
1995-12-31,584.0,,,
1996-12-31,595.0,,,
1997-12-31,635.0,,,
1998-12-31,707.0,,,
1999-12-31,739.0,,,
2000-12-31,740.0,,,
2001-12-31,783.0,,,
2002-12-31,804.0,,,
2003-12-31,804.0,,,
2004-12-31,806.0,,,
2005-12-31,808.0,,,
2006-12-31,960.0,,,
2007-12-31,1089.0,,,
2008-12-31,1148.0,,,
2009-12-31,1099.0,,,
2010-12-31,1069.0,,,
2011-12-31,1084.0,,,
2012-12-31,1150.0,,,
2013-12-31,1224.0,,,
2014-12-31,1322.0,,,
2015-12-31,1332.0,,,
2016-12-31,1258.0,,,
2017-12-31,1247.0,,,
2018-12-31,1272.0,,,
2019-12-31,1305.0,,,
2020-12-31,1323.0,,,
2021-12-31,1355.0,,,
2022-12-31,1466.0,,,
2023-12-31,,1574.0952724842266,1553.1918302605184,1594.9987147079348
2024-12-31,,1632.6152657240873,1592.0438946017584,1673.1866368464161
2025-12-31,,1685.2422973234907,1631.1613800903212,1739.32321455666
